industry,rating,year
能源,B,2025
消费,A,2025
电子,BB,2024
能源,BBB,2023
机械,B,2024
能源,BBB,2023
电子,AA,2024
能源,BBB,2025
医药,B,2025
电子,BB,2025
金融,BBB,2023
机械,A,2025
能源,C,2025
电子,BBB,2023
电子,BB,2023
机械,AA,2023
医药,A,2024
消费,B,2024
消费,BB,2024
金融,A,2023
电子,B,2025
金融,BB,2024
电子,B,2025
机械,BB,2023
能源,A,2024
金融,B,2024
医药,BBB,2024
机械,BBB,2025
消费,BB,2023
机械,A,2023
医药,A,2024
能源,A,2024
能源,B,2024
能源,AA,2025
医药,A,2023
医药,B,2025
电子,BBB,2025
能源,BB,2025
能源,A,2024
金融,AA,2023
能源,A,2023
金融,AA,2023
电子,BBB,2024
电子,A,2023
能源,BBB,2024
能源,B,2023
电子,B,2025
机械,BBB,2023
机械,BB,2023
电子,BBB,2024
消费,B,2023
医药,BBB,2024
医药,C,2025
医药,B,2023
医药,BB,2023
消费,BBB,2024
电子,AAA,2023
消费,BBB,2023
电子,AAA,2023
金融,BBB,2023
机械,BBB,2023
金融,AA,2023
金融,B,2023
能源,AA,2024
金融,C,2023
医药,BBB,2025
消费,BB,2025
金融,BB,2025
医药,BB,2025
机械,BBB,2025
消费,A,2025
能源,A,2025
医药,BBB,2025
机械,BBB,2023
金融,A,2023
电子,AA,2025
电子,BB,2024
金融,A,2024
能源,A,2025
机械,A,2023
金融,BB,2023
机械,B,2025
电子,BB,2023
能源,C,2025
能源,A,2025
机械,BBB,2024
机械,BBB,2024
消费,BBB,2024
能源,BB,2023
机械,BB,2025
电子,BB,2025
电子,C,2023
医药,A,2025
医药,BB,2023
能源,BBB,2024
机械,BBB,2024
金融,A,2023
金融,BBB,2024
电子,B,2025
能源,BB,2024
电子,BBB,2024
电子,BB,2023
金融,AAA,2024
电子,BBB,2025
机械,C,2024
电子,BBB,2024
机械,C,2025
电子,BB,2024
金融,BB,2025
金融,A,2025
电子,C,2025
消费,BBB,2023
电子,BBB,2024
机械,BBB,2025
电子,A,2025
能源,BBB,2023
电子,A,2025
金融,BBB,2023
医药,A,2023
电子,A,2025
医药,B,2025
机械,A,2025
医药,BBB,2025
金融,AAA,2025
机械,AA,2025
电子,AA,2023
电子,BBB,2024
医药,BBB,2023
金融,B,2023
电子,BB,2023
电子,BBB,2023
电子,C,2025
能源,A,2024
电子,BBB,2024
消费,BBB,2024
医药,BBB,2024
电子,BBB,2023
消费,A,2024
金融,BB,2023
消费,C,2025
金融,B,2024
电子,AA,2024
电子,BBB,2024
机械,BBB,2024
机械,BBB,2024
医药,B,2025
电子,C,2024
医药,BBB,2023
能源,BBB,2023
能源,BB,2024
能源,B,2025
机械,B,2025
能源,BB,2023
金融,A,2025
电子,BBB,2024
医药,A,2025
消费,AA,2025
电子,BBB,2024
医药,BB,2023
能源,BB,2024
机械,BB,2023
金融,AA,2023
能源,C,2024
医药,BB,2025
机械,B,2024
电子,BBB,2024
能源,AAA,2023
金融,AA,2024
电子,BBB,2024
机械,BBB,2025
消费,AA,2024
机械,BBB,2024
消费,B,2023
电子,A,2024
机械,BB,2025
消费,A,2023
电子,BB,2023
电子,BBB,2024
消费,AAA,2023
电子,BBB,2023
消费,BB,2025
金融,A,2024
金融,BB,2025
金融,C,2024
电子,B,2024
电子,C,2025
机械,B,2024
电子,BBB,2025
机械,A,2023
电子,B,2025
能源,BB,2025
医药,BBB,2024
消费,BBB,2025
电子,A,2023
消费,BB,2023
金融,BB,2023
消费,A,2025
机械,B,2024
消费,AA,2024
消费,C,2025
消费,BBB,2025
医药,BB,2023
机械,A,2024
能源,B,2023
机械,B,2024
电子,BBB,2024
医药,BBB,2024
电子,C,2023
机械,BB,2025
能源,BBB,2024
电子,C,2025
机械,B,2023
金融,A,2025
金融,AA,2025
消费,A,2025
金融,BB,2023
消费,BBB,2024
电子,BBB,2024
消费,B,2023
金融,A,2025
金融,BBB,2025
电子,BBB,2024
消费,BB,2025
医药,AA,2023
机械,AAA,2023
消费,A,2023
机械,C,2024
医药,B,2023
消费,C,2025
医药,BBB,2024
金融,BB,2025
电子,BBB,2025
消费,AA,2025
电子,BBB,2023
金融,A,2024
消费,AA,2024
消费,BBB,2025
医药,A,2023
电子,AAA,2024
机械,BB,2023
消费,A,2025
电子,A,2024
金融,BBB,2025
消费,BB,2023
机械,BB,2023
电子,BBB,2024
能源,A,2024
电子,B,2023
消费,AA,2025
电子,AA,2025
电子,BBB,2025
医药,BBB,2025
医药,AA,2025
电子,BB,2023
电子,BBB,2025
电子,BBB,2025
金融,B,2023
金融,C,2023
能源,BBB,2023
能源,AA,2023
消费,BBB,2023
机械,A,2023
机械,B,2023
医药,AAA,2025
机械,A,2024
消费,BBB,2023
机械,BBB,2023
金融,BBB,2024
电子,C,2023
消费,A,2025
电子,C,2023
消费,BBB,2023
机械,AA,2024
消费,BB,2023
能源,BB,2023
电子,BBB,2024
医药,BBB,2024
金融,BBB,2024
电子,A,2024
机械,BBB,2024
金融,BB,2024
医药,C,2025
金融,BB,2023
金融,BB,2024
机械,B,2025
金融,B,2023
电子,BBB,2023
能源,A,2024
消费,A,2023
消费,A,2025
消费,A,2025
医药,BBB,2025
金融,BB,2025
电子,BB,2024
医药,BB,2024
电子,BB,2025
电子,BB,2023
消费,BB,2023
机械,B,2025
金融,A,2024
