src,dst
0,1
0,2
1,2
1,3
0,3
1,4
0,4
4,5
1,5
1,6
0,6
6,7
1,7
2,8
6,8
1,9
2,9
6,10
3,10
10,11
4,11
7,12
1,12
10,13
1,13
0,14
6,14
4,15
7,15
15,16
7,16
0,17
5,17
8,18
10,18
1,19
7,19
9,20
14,20
7,21
2,21
3,22
0,22
10,23
15,23
5,24
21,24
5,25
1,25
10,26
11,26
1,27
6,27
21,28
25,28
8,29
6,29
23,30
4,30
1,31
11,31
10,32
1,32
2,33
6,33
5,34
7,34
6,35
26,35
19,36
34,36
19,37
25,37
7,38
6,38
2,39
19,39
16,40
6,40
23,41
21,41
35,42
19,42
16,43
12,43
8,44
11,44
27,45
22,45
6,46
10,46
43,47
30,47
10,48
29,48
2,49
5,49
47,50
6,50
46,51
47,51
16,52
19,52
25,53
48,53
39,54
44,54
7,55
48,55
0,56
37,56
17,57
55,57
29,58
25,58
7,59
41,59
