household_id,education,age,income
H0000,bachelor,58,34005.5
H0001,master,46,26296.6
H0002,master,41,38989.66
H0003,high_school,58,7760.24
H0004,bachelor,40,21213.47
H0005,master,23,34340.07
H0006,master,37,30023.59
H0007,bachelor,35,26475.82
H0008,master,34,33318.35
H0009,bachelor,58,23118.63
H0010,bachelor,53,22976.29
H0011,master,35,33824.37
H0012,master,24,20598.88
H0013,bachelor,35,33238.6
H0014,high_school,33,6843.04
H0015,bachelor,26,21491.37
H0016,bachelor,43,9537.19
H0017,bachelor,41,16987.43
H0018,high_school,28,5516.66
H0019,high_school,45,4918.81
H0020,bachelor,52,20876.37
H0021,bachelor,37,33513.57
H0022,bachelor,55,26587.63
H0023,high_school,58,7990.84
H0024,bachelor,45,11916.12
H0025,master,51,91440.29
H0026,bachelor,22,11590.46
H0027,master,49,47968.4
H0028,high_school,27,4951.85
H0029,high_school,37,9847.44
H0030,bachelor,52,14481.36
H0031,bachelor,31,12252.22
H0032,bachelor,42,15269.5
H0033,bachelor,47,29018.87
H0034,bachelor,27,16472.45
H0035,high_school,31,7425.07
H0036,bachelor,48,32754.11
H0037,high_school,56,5486.63
H0038,bachelor,41,19795.16
H0039,high_school,28,4851.45
H0040,master,54,30182.96
H0041,bachelor,48,17249.15
H0042,master,34,32266.59
H0043,bachelor,56,22060.32
H0044,high_school,59,6246.67
H0045,high_school,46,5977.32
H0046,bachelor,52,34004.57
H0047,high_school,32,6428.31
H0048,high_school,38,7296.49
H0049,high_school,32,5960.16
H0050,bachelor,35,14805.5
H0051,bachelor,31,17122.77
H0052,master,38,17567.86
H0053,bachelor,59,32565.93
H0054,high_school,42,4924.05
H0055,high_school,40,4617.97
H0056,bachelor,39,26174.6
H0057,bachelor,45,15403.58
H0058,high_school,35,10047.47
H0059,bachelor,27,16822.16
H0060,high_school,39,3101.82
H0061,high_school,39,10926.43
H0062,high_school,31,8046.86
H0063,high_school,22,4816.74
H0064,master,57,42642.95
H0065,high_school,46,6565.11
H0066,high_school,49,3645.43
H0067,bachelor,58,26497.26
H0068,bachelor,36,15317.8
H0069,bachelor,35,26290.21
H0070,high_school,43,6134.01
H0071,high_school,51,6658.63
H0072,high_school,29,6309.01
H0073,bachelor,43,20477.96
H0074,bachelor,39,10743.3
H0075,master,59,52581.9
H0076,master,22,32120.07
H0077,bachelor,29,36592.57
H0078,high_school,48,7747.29
H0079,high_school,29,5601.52
H0080,high_school,44,4299.28
H0081,master,24,20788.96
H0082,master,47,33189.7
