age,hours,edu,income
42,37.4,1,
30,40.2,2,24.75
34,33.5,1,24.43
39,57.1,2,29.74
54,45.4,1,
56,47.8,1,32.59
45,36.6,1,24.53
23,30.1,0,
55,34.1,1,24.74
30,32.8,0,
26,49.5,1,25.36
45,30.4,0,20.74
56,36.2,1,23.84
32,39.2,1,29.07
24,42.1,2,
26,37.1,2,
57,38.6,1,28.6
47,26.1,2,
54,38.8,0,28.83
32,42.3,2,26.01
45,31.0,0,24.22
36,36.8,1,32.51
31,43.2,0,
54,33.3,0,26.68
51,44.8,1,33.31
27,47.1,0,27.3
52,39.7,1,29.09
35,42.4,0,30.37
44,38.0,1,20.49
45,42.5,1,30.22
52,34.8,1,
35,37.0,2,
55,34.7,0,27.8
33,43.7,1,28.24
41,48.0,0,26.56
41,45.8,1,29.95
57,46.8,1,34.67
35,43.9,1,32.3
52,43.0,0,24.26
45,43.9,1,24.32
28,43.4,1,21.79
54,43.2,1,
48,35.0,0,25.65
29,34.8,1,21.01
44,42.5,1,28.9
31,51.3,2,
38,34.6,0,24.77
44,39.8,0,24.02
55,48.4,0,30.81
28,32.6,1,25.41
23,40.9,1,23.12
48,38.6,0,25.43
47,54.7,0,25.17
48,52.8,1,29.87
44,51.7,1,32.61
49,41.8,1,29.29
42,46.1,0,26.98
52,34.9,1,
36,38.7,0,27.62
31,43.7,0,26.42
40,39.1,1,
46,33.2,0,24.77
32,45.6,0,21.59
56,38.9,0,
32,49.9,1,27.52
45,41.8,1,28.94
48,44.4,0,33.53
41,40.2,1,
32,31.4,0,20.4
25,50.8,0,29.8
57,42.4,2,26.24
51,41.8,0,25.47
28,48.1,1,29.78
35,47.5,0,26.09
32,38.9,1,19.41
31,31.5,0,22.86
24,35.9,2,
44,43.7,1,30.2
51,39.6,1,29.28
56,49.3,0,27.9
30,44.4,0,
53,47.9,0,24.65
56,51.0,1,31.87
45,37.2,0,25.6
24,45.0,0,24.44
25,30.1,1,23.09
44,37.4,1,
31,38.4,0,26.41
27,41.0,2,
31,50.4,0,31.41
44,43.7,0,28.7
44,29.4,0,21.88
35,36.7,2,
38,39.7,1,29.7
40,47.3,2,
31,49.9,0,25.87
55,46.5,0,27.44
31,40.1,1,23.99
30,43.7,2,
56,49.7,1,
43,39.1,2,25.73
40,46.3,0,26.58
36,45.3,1,
46,44.2,0,33.21
26,35.3,1,29.08
40,46.7,1,30.2
50,30.7,0,27.15
42,47.4,0,26.77
43,50.7,0,
34,45.5,1,
56,43.4,0,28.39
50,42.8,1,26.19
56,45.5,0,33.54
38,40.3,1,27.18
32,34.1,2,27.77
31,45.8,0,28.41
51,53.0,0,30.53
26,37.0,2,
35,34.6,2,
30,38.1,2,
24,47.9,2,24.99
48,44.2,0,28.02
30,40.8,2,27.04
54,41.5,1,
38,35.7,2,
38,41.4,0,25.35
26,39.2,1,26.54
27,36.1,1,22.08
56,33.2,1,28.34
28,32.1,1,25.62
24,49.6,1,
42,44.2,2,31.41
34,33.5,0,21.74
31,42.6,0,23.89
44,39.5,0,28.72
24,41.2,2,
42,43.3,0,22.94
24,34.7,0,22.9
48,43.9,1,28.86
38,44.2,1,31.56
50,33.2,0,23.23
49,46.3,1,26.68
28,47.9,1,29.18
24,37.9,0,25.92
46,33.9,1,24.31
25,38.4,2,25.9
55,32.5,1,
56,31.6,2,21.49
27,35.1,1,24.74
38,37.3,1,
33,40.2,1,
45,41.2,0,
55,45.3,0,29.81
45,27.9,1,21.77
46,42.9,1,26.65
55,52.9,0,34.21
33,38.3,0,
36,36.0,2,
29,40.3,0,25.41
