household_id,education,age,income
H0000,high_school,55,
H0001,high_school,39,5460.59
H0002,high_school,42,5613.05
H0003,bachelor,25,22759.16
H0004,master,41,48778.78
H0005,high_school,32,11094.63
H0006,high_school,49,5456.82
H0007,bachelor,31,19115.47
H0008,bachelor,52,26264.75
H0009,high_school,45,
H0010,high_school,30,
H0011,master,23,
H0012,bachelor,47,16318.33
H0013,bachelor,35,20043.82
H0014,bachelor,48,26780.92
H0015,bachelor,53,
H0016,high_school,31,
H0017,high_school,42,4992.0
H0018,high_school,36,7629.91
H0019,high_school,48,
H0020,bachelor,59,30848.44
H0021,high_school,26,6460.66
H0022,bachelor,25,18683.53
H0023,bachelor,24,13741.55
H0024,bachelor,36,19711.71
H0025,high_school,48,7515.99
H0026,high_school,58,6541.75
H0027,high_school,44,10216.03
H0028,high_school,40,6270.55
H0029,bachelor,50,21996.89
H0030,high_school,23,
H0031,high_school,50,8476.3
H0032,high_school,50,7303.7
H0033,bachelor,27,11654.53
H0034,master,46,37246.56
H0035,high_school,47,
H0036,bachelor,24,21414.67
H0037,bachelor,43,15457.06
H0038,master,47,33690.39
H0039,high_school,23,
H0040,high_school,31,5660.51
H0041,high_school,27,
H0042,bachelor,32,9967.08
H0043,master,45,31975.56
H0044,master,56,32083.38
H0045,bachelor,43,28278.4
H0046,high_school,54,7778.39
H0047,high_school,54,11294.28
H0048,high_school,29,7419.07
H0049,high_school,41,7704.81
H0050,bachelor,41,
H0051,high_school,41,5024.52
H0052,high_school,41,15670.67
H0053,bachelor,33,22657.04
H0054,high_school,23,4532.24
H0055,bachelor,55,10531.69
H0056,master,35,
H0057,high_school,30,5133.68
H0058,master,23,
H0059,high_school,26,
H0060,high_school,36,
H0061,bachelor,44,
H0062,bachelor,34,14973.19
H0063,master,51,31591.72
H0064,bachelor,26,26466.49
H0065,bachelor,25,12871.76
H0066,high_school,53,
H0067,high_school,36,
H0068,bachelor,38,23837.12
H0069,bachelor,58,25973.18
H0070,high_school,29,5224.85
H0071,high_school,22,
H0072,bachelor,53,
H0073,master,35,28746.58
H0074,high_school,54,10080.73
H0075,bachelor,30,15669.4
H0076,bachelor,42,16275.19
H0077,high_school,42,10237.51
H0078,high_school,44,
H0079,bachelor,40,13362.54
H0080,high_school,22,4941.96
H0081,bachelor,22,8126.01
H0082,bachelor,55,
H0083,bachelor,30,
H0084,high_school,29,
H0085,bachelor,38,
H0086,bachelor,28,18003.36
H0087,bachelor,28,13398.72
H0088,high_school,41,6635.2
H0089,master,35,31970.28
H0090,bachelor,41,12992.03
H0091,bachelor,47,
H0092,high_school,43,
H0093,high_school,22,4833.59
H0094,bachelor,32,20455.3
H0095,high_school,34,
H0096,bachelor,41,13455.5
H0097,master,44,
H0098,bachelor,22,9488.35
H0099,bachelor,58,
H0100,bachelor,57,35368.47
H0101,high_school,46,
H0102,high_school,50,4892.21
H0103,master,52,27602.04
H0104,master,22,31148.21
H0105,bachelor,32,15404.31
H0106,master,23,49638.63
H0107,high_school,49,
H0108,high_school,40,
H0109,high_school,33,12335.67
H0110,high_school,52,4458.91
H0111,bachelor,25,10912.96
H0112,high_school,42,11447.54
H0113,high_school,57,10365.54
H0114,high_school,43,6239.65
H0115,high_school,59,7977.1
H0116,master,37,37085.72
H0117,high_school,35,7419.84
H0118,master,45,49708.29
H0119,bachelor,30,18176.26
H0120,high_school,47,
H0121,master,38,
H0122,bachelor,44,23273.47
H0123,high_school,41,10567.68
H0124,bachelor,53,19827.93
H0125,bachelor,30,18368.45
H0126,high_school,49,5323.01
H0127,bachelor,59,34679.66
H0128,high_school,27,6992.64
H0129,high_school,33,6600.72
H0130,high_school,54,
H0131,high_school,38,5548.02
H0132,bachelor,27,14033.27
H0133,high_school,47,7501.81
H0134,master,52,75167.21
H0135,bachelor,27,8224.84
H0136,high_school,37,11101.05
H0137,high_school,40,5715.88
H0138,high_school,47,12407.72
H0139,bachelor,43,11140.18
H0140,bachelor,44,19085.53
H0141,high_school,53,8946.05
H0142,master,44,52235.76
H0143,bachelor,35,
H0144,high_school,41,7911.04
H0145,high_school,27,
H0146,bachelor,55,17696.57
H0147,bachelor,39,25989.06
H0148,high_school,50,
H0149,high_school,39,9150.87
H0150,master,29,31792.44
H0151,high_school,41,7669.33
H0152,bachelor,45,31787.86
H0153,bachelor,51,
H0154,master,34,29621.0
H0155,high_school,40,5719.36
H0156,bachelor,44,16123.01
H0157,bachelor,39,12958.32
H0158,bachelor,52,12385.98
H0159,high_school,26,7438.88
H0160,high_school,53,7499.09
H0161,high_school,37,5154.03
H0162,high_school,26,
H0163,high_school,46,6226.69
H0164,master,46,
H0165,bachelor,59,
H0166,high_school,34,5830.52
H0167,bachelor,44,14639.09
H0168,master,32,64298.08
H0169,bachelor,56,30222.6
H0170,high_school,30,4852.11
H0171,high_school,28,6722.87
H0172,master,54,
H0173,master,24,
H0174,high_school,50,5711.54
H0175,master,47,31536.49
H0176,bachelor,27,12823.15
H0177,bachelor,34,24988.99
H0178,high_school,49,8454.63
H0179,bachelor,51,
H0180,high_school,28,8047.43
H0181,high_school,28,10799.64
H0182,high_school,48,
H0183,bachelor,53,
H0184,high_school,52,7531.2
H0185,master,54,49277.0
H0186,high_school,31,5829.79
H0187,high_school,56,6437.34
H0188,bachelor,41,23628.35
H0189,bachelor,24,17115.94
H0190,bachelor,36,22432.34
H0191,bachelor,37,
H0192,bachelor,35,
H0193,master,36,
H0194,high_school,58,5992.18
H0195,bachelor,25,
H0196,bachelor,39,19620.21
H0197,master,43,45009.12
H0198,bachelor,36,16006.99
H0199,high_school,26,4051.92
H0200,high_school,24,5340.97
H0201,bachelor,49,28295.81
H0202,high_school,47,6112.79
H0203,high_school,58,4780.81
H0204,bachelor,46,22053.6
H0205,bachelor,46,17506.42
H0206,high_school,40,9400.61
H0207,bachelor,46,22695.51
H0208,master,22,20637.6
H0209,high_school,27,4140.96
H0210,high_school,53,
H0211,high_school,58,7217.8
H0212,bachelor,32,27844.16
H0213,bachelor,23,8556.5
H0214,bachelor,34,8840.16
H0215,bachelor,44,11310.27
H0216,master,59,61155.67
H0217,bachelor,55,16131.91
H0218,bachelor,32,
H0219,high_school,32,4543.93
H0220,bachelor,47,16488.83
H0221,master,45,38333.22
H0222,high_school,35,3891.92
H0223,high_school,24,4865.05
H0224,master,47,37526.18
H0225,bachelor,29,15785.33
H0226,high_school,36,8143.72
H0227,master,34,53713.71
H0228,high_school,41,5381.07
H0229,master,56,60276.46
H0230,master,50,38846.67
H0231,master,25,25065.31
H0232,master,37,45835.66
H0233,bachelor,41,
H0234,bachelor,23,12673.46
H0235,high_school,47,9099.17
H0236,high_school,28,5952.85
H0237,high_school,52,
H0238,bachelor,38,
H0239,master,49,24355.84
H0240,high_school,37,10410.16
H0241,high_school,27,
H0242,bachelor,30,11606.78
H0243,high_school,57,
H0244,high_school,57,10320.48
H0245,high_school,56,9082.21
H0246,high_school,59,
H0247,high_school,42,7978.61
H0248,bachelor,31,
H0249,high_school,56,13393.58
H0250,master,29,47999.94
H0251,high_school,44,4832.36
H0252,bachelor,24,11883.81
H0253,master,23,43429.12
H0254,bachelor,22,11474.95
H0255,high_school,35,6273.72
H0256,high_school,40,4355.23
H0257,high_school,31,2923.27
H0258,master,39,
H0259,high_school,47,9504.45
H0260,bachelor,28,24158.82
H0261,high_school,41,5585.59
H0262,high_school,48,6126.34
H0263,bachelor,35,11074.22
H0264,high_school,55,4264.66
