salary,true_kind
19247.1,core
41663.12,core
53086.18,core
24709.39,core
19964.75,core
39495.0,core
42036.38,core
55388.88,core
36673.4,core
53648.69,core
43607.8,core
23566.39,core
46275.02,core
24943.53,core
50194.35,core
34297.87,core
20587.62,core
32882.45,core
37919.32,core
19719.36,core
32695.23,core
49184.47,core
21934.67,core
28529.47,core
38495.98,core
27685.51,core
38492.38,core
39785.9,core
13083.73,core
15365.12,core
78081.74,core
45332.21,core
29138.65,core
98533.59,core
38386.35,core
12931.89,core
28377.4,core
54662.81,core
92706.35,core
17608.26,core
92696.17,core
28950.22,core
36052.03,core
38205.24,core
33139.09,core
21400.56,core
81757.37,core
22811.17,core
29576.88,core
27747.07,core
39747.48,core
15364.71,core
29122.0,core
42647.61,core
34956.8,core
20199.33,core
56685.97,core
30202.16,core
39533.11,core
41478.32,core
40026.1,core
19647.19,core
16452.83,core
44367.78,core
52842.72,core
36599.43,core
49888.03,core
25450.39,core
11595.5,core
47093.11,core
54559.51,core
24255.95,core
8919.96,core
19665.48,core
16654.02,core
28162.99,core
53323.05,core
27808.42,core
92264.93,core
55527.28,core
37966.68,core
23938.74,core
35286.34,core
35004.24,core
34075.53,core
30826.72,core
43121.38,core
29502.91,core
67902.29,core
42552.4,core
42221.52,core
23963.5,core
29401.69,core
27689.93,core
23536.73,core
75058.35,core
29002.1,core
19554.08,core
26099.46,core
21908.59,core
30052.64,core
36164.85,core
25849.27,core
25401.84,core
53331.92,core
33295.16,core
37581.85,core
36429.69,core
16865.42,core
24333.88,core
14997.16,core
11315.24,core
52231.14,core
87361.27,core
37771.14,core
23309.45,core
49499.07,core
28180.85,core
25706.56,core
61531.27,core
36221.39,core
30131.58,core
21336.16,core
21095.01,core
51332.68,core
28243.37,core
34894.08,core
48646.71,core
42505.91,core
23035.74,core
24173.67,core
36795.19,core
31279.12,core
14060.2,core
28721.64,core
41111.5,core
33552.27,core
19139.44,core
25816.19,core
24642.66,core
18291.1,core
37008.24,core
30439.06,core
28766.11,core
30239.34,core
36351.1,core
49136.4,core
33967.18,core
43707.07,core
26128.91,core
41035.25,core
22812.3,core
16145.06,core
35312.63,core
35240.99,core
36747.06,core
56258.59,core
75265.74,core
13616.61,core
23046.06,core
21924.53,core
37689.94,core
44163.06,core
60737.85,core
52607.28,core
24223.16,core
33266.41,core
25705.09,core
27294.55,core
30725.1,core
27721.96,core
33342.97,core
22433.05,core
32847.45,core
15984.68,core
47588.05,core
23433.87,core
42238.23,core
24500.69,core
45921.0,core
50458.71,core
22703.1,core
18348.59,core
56389.31,core
12795.3,core
58470.4,core
21640.51,core
28460.9,core
44041.24,core
37945.07,core
39791.49,core
53356.47,core
44224.15,core
22285.13,core
25611.76,core
24499.13,core
37456.61,core
74155.71,core
28740.52,core
28998.62,core
31833.45,core
45999.21,core
22510.3,core
58797.61,core
49510.28,core
46986.52,core
33638.03,core
18760.48,core
33709.91,core
41869.53,core
36988.79,core
19601.18,core
35897.94,core
29427.33,core
18953.79,core
34397.18,core
38006.62,core
33993.28,core
22136.42,core
28507.44,core
31456.63,core
32522.59,core
44527.09,core
13285.88,core
32503.55,core
50281.06,core
55963.49,core
47364.93,core
19642.16,core
39737.79,core
19943.82,core
19746.93,core
51963.67,core
60939.4,core
19953.16,core
44504.91,core
40146.32,core
36967.05,core
17243.69,core
18325.13,core
36426.35,core
67173.65,core
20420.46,core
53885.34,core
26600.14,core
27301.85,core
53935.46,core
39286.37,core
51696.24,core
35200.76,core
24077.39,core
53906.3,core
10071.76,core
44781.62,core
28020.17,core
26782.93,core
37424.85,core
46379.62,core
49665.39,core
72101.83,core
39698.37,core
34320.44,core
28111.04,core
19554.77,core
18932.1,core
34406.1,core
29910.69,core
26870.88,core
19088.32,core
25059.45,core
29850.65,core
53767.35,core
35351.46,core
81424.16,core
45558.41,core
73793.53,core
42909.43,core
101490.11,core
45706.08,core
50033.15,core
15655.76,core
14403.64,core
54447.95,core
34195.78,core
28204.15,core
35600.44,core
18852.02,core
26179.56,core
69685.44,core
28469.57,core
28515.1,core
38583.11,core
21149.97,core
40009.46,core
24070.31,core
32087.79,core
75402.13,core
29436.92,core
54024.54,core
36004.37,core
44893.69,core
52961.86,core
21558.0,core
15259.4,core
68922.43,core
32890.95,core
10378.84,core
56637.08,core
33711.78,core
29775.89,core
21585.33,core
27834.47,core
42379.1,core
55416.92,core
43589.74,core
26117.88,core
19130.77,core
50229.71,core
20749.43,core
30515.59,core
54630.63,core
31154.3,core
30457.17,core
27544.72,core
47496.93,core
49514.05,core
33454.2,core
26500.68,core
31128.28,core
23623.96,core
55340.39,core
13574.62,core
36036.3,core
12668.24,core
43276.34,core
43006.03,core
60474.03,core
45111.69,core
64226.65,core
43290.99,core
23065.21,core
33454.87,core
21172.31,core
24688.6,core
38597.16,core
75798.18,core
26833.85,core
42983.17,core
28821.83,core
28584.92,core
115991.72,core
51017.75,core
39291.79,core
24686.5,core
20745.0,core
23236.91,core
33125.96,core
38571.87,core
70689.62,core
32325.15,core
32268.95,core
31846.72,core
35410.08,core
55285.09,core
69274.13,core
27087.85,core
14390.05,core
32495.8,core
31520.45,core
30001.34,core
31781.56,core
63591.39,core
28246.11,core
45282.31,core
34255.71,core
21268.4,core
42722.12,core
44858.96,core
22006.34,core
26870.29,core
26638.49,core
75760.58,core
45968.4,core
28134.76,core
23671.91,core
40665.64,core
28126.65,core
31162.13,core
17774.84,core
35309.11,core
22907.5,core
16682.67,core
26118.0,core
37371.83,core
48179.02,core
24599.25,core
37854.09,core
30070.73,core
55770.74,core
34127.6,core
-3200.0,entry_error
999999.0,entry_error
480000.0,legitimate_extreme
251956.28,unusual_group
252946.21,unusual_group
244005.69,unusual_group
253999.86,unusual_group
252581.37,unusual_group
248017.18,unusual_group
247742.35,unusual_group
253157.31,unusual_group
