firm_id,region,revenue
F0000,Central,1373.6
F0001,East,109.08
F0002,Central,142.52
F0003,West,83.39
F0004,Central,59.35
F0005,East,24.08
F0006,East,9.19
F0007,East,218.76
F0008,Central,27.49
F0009,Central,111.36
F0010,East,32.89
F0011,Central,183.58
F0012,East,341.71
F0013,East,76.1
F0014,East,427.18
F0015,East,49.03
F0016,East,221.41
F0017,Central,400.45
F0018,Central,41.37
F0019,Central,329.84
F0020,East,189.38
F0021,East,86.27
F0022,West,243.01
F0023,East,38.87
F0024,Central,33.94
F0025,Central,68.8
F0026,East,32.05
F0027,West,93.8
F0028,East,26.17
F0029,Central,24.91
F0030,Central,185.03
F0031,East,57.7
F0032,Central,120.03
F0033,West,69.21
F0034,East,279.17
F0035,East,44.16
F0036,East,279.26
F0037,East,26.99
F0038,East,35.06
F0039,East,77.97
F0040,East,115.49
F0041,Central,161.68
F0042,Central,87.79
F0043,West,109.99
F0044,Central,84.45
F0045,West,42.03
F0046,East,122.73
F0047,Central,626.7
F0048,East,55.5
F0049,East,78.49
F0050,East,74.93
F0051,East,195.27
F0052,East,93.88
F0053,East,163.8
F0054,East,217.65
F0055,Central,197.61
F0056,East,7.18
F0057,East,54.75
F0058,East,17.18
F0059,West,230.83
F0060,East,32.94
F0061,Central,214.59
F0062,East,107.74
F0063,East,115.18
F0064,East,19.54
F0065,Central,45.75
F0066,Central,92.25
F0067,Central,173.85
F0068,West,458.6
F0069,West,74.94
F0070,East,363.68
F0071,Central,21.67
F0072,East,193.95
F0073,Central,34.52
F0074,Central,168.76
F0075,East,64.21
F0076,East,149.44
F0077,West,87.9
F0078,East,130.34
F0079,Central,33.57
F0080,West,620.01
F0081,East,111.35
F0082,Central,599.7
F0083,East,99.93
F0084,East,80.98
F0085,East,65.61
F0086,East,86.24
F0087,Central,313.76
F0088,East,110.81
F0089,Central,100.06
F0090,East,85.58
F0091,Central,510.59
F0092,East,33.43
F0093,East,324.55
F0094,East,138.91
F0095,West,912.3
F0096,East,7.56
F0097,East,353.72
F0098,East,188.91
F0099,West,142.87
F0100,West,772.46
F0101,East,51.67
F0102,West,29.31
F0103,West,128.0
F0104,West,142.93
F0105,Central,142.07
F0106,East,46.16
F0107,Central,87.43
F0108,East,115.0
F0109,Central,17.06
F0110,Central,89.1
F0111,West,82.15
F0112,Central,142.62
F0113,East,93.25
F0114,East,97.95
F0115,East,79.1
F0116,West,84.32
F0117,Central,93.59
F0118,Central,147.23
F0119,Central,56.31
F0120,Central,100.49
F0121,Central,204.19
F0122,Central,41.55
F0123,Central,131.73
F0124,West,61.6
F0125,West,403.24
F0126,East,26.19
F0127,Central,37.45
F0128,East,180.78
F0129,East,87.37
F0130,West,289.12
F0131,Central,35.35
F0132,East,49.81
F0133,Central,42.63
F0134,East,158.05
F0135,East,98.98
F0136,West,17.2
F0137,West,23.86
F0138,West,94.82
F0139,East,48.92
F0140,Central,22.95
F0141,East,161.82
F0142,West,47.26
F0143,East,15.99
F0144,East,25.45
F0145,East,137.66
F0146,West,87.51
F0147,Central,95.87
F0148,West,44.85
F0149,Central,68.96
F0150,Central,195.59
F0151,East,220.74
F0152,East,144.54
F0153,Central,44.3
F0154,West,22.55
F0155,East,77.55
F0156,West,216.77
F0157,East,13.85
F0158,East,17.79
F0159,West,53.35
F0160,West,88.97
F0161,Central,213.49
F0162,Central,53.23
F0163,Central,76.65
F0164,West,218.59
F0165,West,359.78
F0166,Central,61.56
F0167,East,261.89
F0168,East,183.78
F0169,East,133.62
F0170,East,114.97
F0171,Central,108.01
F0172,East,26.41
F0173,Central,18.46
F0174,Central,23.47
F0175,East,148.7
F0176,Central,57.38
F0177,Central,202.17
F0178,East,196.86
F0179,East,289.46
F0180,West,89.11
F0181,East,181.53
F0182,Central,89.54
F0183,East,193.98
F0184,West,130.8
F0185,West,97.47
F0186,East,53.82
F0187,East,30.01
F0188,West,54.66
F0189,East,25.16
F0190,Central,88.97
F0191,East,46.45
F0192,Central,106.25
F0193,East,103.96
F0194,East,90.81
F0195,East,258.07
F0196,Central,169.44
F0197,West,80.51
F0198,Central,272.01
F0199,East,31.68
F0200,East,14.73
F0201,East,235.06
F0202,Central,42.0
F0203,Central,204.25
F0204,East,71.24
F0205,East,13.99
F0206,West,22.34
F0207,Central,212.04
F0208,East,132.76
F0209,West,83.16
F0210,West,37.16
F0211,East,79.15
F0212,East,30.76
F0213,West,106.1
F0214,East,34.61
F0215,East,54.22
F0216,East,171.04
F0217,West,75.25
F0218,Central,101.29
F0219,East,320.23
F0220,West,556.08
F0221,East,277.14
F0222,Central,257.87
F0223,Central,75.59
F0224,Central,179.91
F0225,East,130.69
F0226,East,424.86
F0227,West,70.72
F0228,Central,197.04
F0229,West,665.84
F0230,Central,29.75
F0231,Central,51.49
F0232,West,51.6
F0233,East,385.04
F0234,East,170.1
F0235,Central,142.27
F0236,East,39.01
F0237,West,46.48
F0238,West,232.49
F0239,East,13.72
F0240,West,29.05
F0241,West,155.74
F0242,Central,85.92
F0243,East,26.63
F0244,East,62.22
F0245,East,328.25
F0246,East,80.59
F0247,East,52.98
F0248,Central,424.14
F0249,West,153.99
F0250,East,49.81
F0251,Central,86.63
F0252,Central,16.97
F0253,Central,41.0
F0254,East,74.23
F0255,Central,252.53
F0256,East,134.32
F0257,West,127.53
F0258,East,274.23
F0259,East,217.29
F0260,East,205.68
F0261,East,247.16
F0262,East,163.54
F0263,East,186.3
F0264,West,38.6
F0265,Central,186.13
F0266,West,41.77
