firm_id,month,revenue
F01,1,363.8
F01,2,433.0
F01,3,253.5
F01,4,537.9
F01,5,452.4
F01,6,696.1
F01,7,223.6
F01,8,513.2
F01,9,346.9
F01,10,369.7
F01,11,245.5
F01,12,330.2
F02,1,365.9
F02,2,415.9
F02,3,494.9
F02,4,355.9
F02,5,664.3
F02,6,409.8
F02,7,537.9
F02,8,345.3
F02,9,212.7
F02,10,265.4
F02,11,424.2
F02,12,565.7
F03,1,291.8
F03,2,327.9
F03,3,
F03,4,
F03,5,
F03,6,465.6
F03,7,360.2
F03,8,308.2
F03,9,376.8
F03,10,259.5
F03,11,372.5
F03,12,356.8
F04,1,236.0
F04,2,401.5
F04,3,521.3
F04,4,375.9
F04,5,287.0
F04,6,500.7
F04,7,262.1
F04,8,222.2
F04,9,558.8
F04,10,488.2
F04,11,474.4
F04,12,242.2
F05,1,276.1
F05,2,528.9
F05,3,
F05,4,
F05,5,
F05,6,413.6
F05,7,299.0
F05,8,300.8
F05,9,360.1
F05,10,329.3
F05,11,364.3
F05,12,530.3
F06,1,419.5
F06,2,198.2
F06,3,515.1
F06,4,196.8
F06,5,431.5
F06,6,234.5
F06,7,416.5
F06,8,404.7
F06,9,679.5
F06,10,
F06,11,
F06,12,
