order_id,date,store_id,amount,qty
Q1-1000,2026-02-10,S01,400.82,7
Q1-1001,2026-02-06,S01,341.28,1
Q1-1002,2026-02-17,S08,417.59,8
Q1-1003,2026-02-07,S02,833.41,1
Q1-1004,2026-03-12,S07,840.63,2
Q1-1005,2026-02-10,S06,1071.38,3
Q1-1006,2026-02-02,S07,165.84,5
Q1-1007,2026-03-30,S08,331.82,3
Q1-1008,2026-01-19,S02,1013.93,7
Q1-1009,2026-02-08,S05,199.54,3
Q1-1010,2026-01-13,S04,194.05,1
Q1-1011,2026-02-28,S01,526.91,4
Q1-1012,2026-03-25,S08,237.64,1
Q1-1013,2026-01-03,S05,698.48,6
Q1-1014,2026-01-31,S08,313.1,7
Q1-1015,2026-03-29,S06,674.71,6
Q1-1016,2026-03-15,S08,396.51,6
Q1-1017,2026-03-12,S03,456.63,3
Q1-1018,2026-03-15,S03,772.52,1
Q1-1019,2026-03-26,S06,601.85,3
Q1-1020,2026-03-25,S01,747.56,2
Q1-1021,2026-03-10,S08,550.34,7
Q1-1022,2026-03-22,S01,858.9,7
Q1-1023,2026-03-22,S02,1077.72,8
Q1-1024,2026-03-04,S02,877.93,5
Q1-1025,2026-01-03,S07,464.95,3
Q1-1026,2026-01-27,S04,167.74,6
Q1-1027,2026-02-11,S05,1573.3,7
Q1-1028,2026-01-11,S03,219.72,7
Q1-1029,2026-01-28,S04,168.44,3
Q1-1030,2026-03-11,S02,963.68,6
Q1-1031,2026-03-27,S03,730.74,3
Q1-1032,2026-01-10,S08,953.58,3
Q1-1033,2026-01-11,S01,408.57,8
Q1-1034,2026-01-02,S01,338.06,2
Q1-1035,2026-03-06,S04,915.46,8
Q1-1036,2026-01-08,S01,305.07,5
Q1-1037,2026-02-10,S03,824.62,4
Q1-1038,2026-01-11,S05,647.79,2
Q1-1039,2026-02-06,S03,235.47,4
Q1-1040,2026-01-19,S08,352.26,6
Q1-1041,2026-03-26,S01,409.65,1
Q1-1042,2026-03-11,S08,276.19,6
Q1-1043,2026-02-20,S02,160.74,1
Q1-1044,2026-02-11,S07,499.05,3
Q1-1045,2026-02-03,S05,233.47,3
Q1-1046,2026-02-11,S04,103.97,6
Q1-1047,2026-03-01,S08,269.9,1
Q1-1048,2026-02-13,S07,724.32,1
Q1-1049,2026-03-01,S06,3317.83,5
Q1-1050,2026-03-09,S06,605.98,1
Q1-1051,2026-01-21,S03,756.37,3
Q1-1052,2026-03-02,S08,593.8,8
