OrderID,date,store,amount,quantity,channel
Q2-2000,09/04/2026,S01,"¥1,037.12",3,store
Q2-2001,16/06/2026,S07,¥173.37,6,online
Q2-2002,22/04/2026,S02,¥414.72,1,store
Q2-2003,05/05/2026,S03,¥401.55,2,online
Q2-2004,25/04/2026,S07,¥200.25,1,store
Q2-2005,03/04/2026,S01,¥180.19,8,store
Q2-2006,27/04/2026,S05,¥249.41,5,store
Q2-2007,25/04/2026,S03,¥171.84,4,store
Q2-2008,28/06/2026,S05,¥240.32,3,online
Q2-2009,08/04/2026,S02,"¥1,010.75",5,store
Q2-2010,09/05/2026,S02,¥785.98,7,store
Q2-2011,22/06/2026,S04,¥864.60,2,online
Q2-2012,09/06/2026,S05,¥300.87,6,store
Q2-2013,20/05/2026,S03,"¥1,071.41",5,store
Q2-2014,23/05/2026,S08,¥359.19,3,online
Q2-2015,24/06/2026,S04,¥187.08,5,online
Q2-2016,02/05/2026,S01,¥254.47,5,online
Q2-2017,10/06/2026,S08,¥344.15,4,online
Q2-2018,13/06/2026,S01,¥358.77,3,store
Q2-2019,01/06/2026,S05,¥551.93,8,store
Q2-2020,19/06/2026,S02,¥757.34,1,store
Q2-2021,22/05/2026,S08,"¥1,058.88",1,store
Q2-2022,03/05/2026,S06,¥528.46,2,store
Q2-2023,03/06/2026,S06,¥204.14,6,store
Q2-2024,15/04/2026,S07,¥612.28,1,online
Q2-2025,10/06/2026,S08,¥620.10,6,store
Q2-2026,12/06/2026,S07,¥392.83,6,online
Q2-2027,30/05/2026,S08,¥410.70,8,store
Q2-2028,17/06/2026,S06,¥220.78,7,store
Q2-2029,26/05/2026,S08,¥702.66,7,store
Q2-2030,08/04/2026,S03,¥608.08,1,online
Q2-2031,21/05/2026,S01,¥501.40,2,online
Q2-2032,25/04/2026,S02,¥621.69,2,store
Q2-2033,22/06/2026,S01,¥432.74,4,store
Q2-2034,14/06/2026,S05,¥887.89,1,online
Q2-2035,03/06/2026,S07,¥846.49,6,online
Q2-2036,31/05/2026,S05,¥340.89,8,online
Q2-2037,13/05/2026,S07,¥575.23,4,store
Q2-2038,09/06/2026,S08,¥681.60,3,store
Q2-2039,27/04/2026,S04,¥437.27,2,online
Q2-2040,15/04/2026,S04,¥490.11,8,store
Q2-2041,29/04/2026,S03,¥346.16,4,store
Q2-2042,23/06/2026,S08,¥437.64,6,online
Q2-2043,15/05/2026,S01,¥501.75,2,online
Q2-2044,07/06/2026,S08,¥109.23,7,online
Q2-2045,17/05/2026,S05,¥581.14,3,online
Q2-2046,29/06/2026,S01,¥364.16,7,store
Q2-2047,15/06/2026,S06,¥886.15,5,store
Q2-2048,14/05/2026,S07,¥256.06,4,online
Q2-2049,11/05/2026,S01,¥527.44,6,store
Q2-2050,31/05/2026,S08,"¥1,007.37",4,store
Q2-2051,08/05/2026,S08,¥391.52,7,store
Q2-2052,17/04/2026,S04,¥172.57,1,online
Q2-2053,17/06/2026,S08,¥471.47,7,store
Q2-2054,08/05/2026,S03,¥339.08,3,store
Q2-2055,11/04/2026,S01,¥347.29,3,store
Q2-2056,17/06/2026,S06,¥561.45,5,store
Q2-2057,29/06/2026,S01,¥258.00,6,store
Q2-2058,10/06/2026,S07,¥571.47,3,store
Q2-2059,17/04/2026,S07,"¥1,178.46",6,store
Q2-2060,20/05/2026,S07,¥190.68,7,online
Q2-2061,15/06/2026,S03,¥494.64,6,store
Q2-2062,30/05/2026,S02,¥751.90,8,store
Q2-2063,13/06/2026,S01,"¥1,153.05",3,online
Q2-2064,22/06/2026,S04,¥604.91,5,store
Q2-2065,25/04/2026,S05,¥380.58,2,store
Q2-2066,01/05/2026,S06,¥615.23,5,store
Q2-2067,02/04/2026,S05,¥332.58,8,online
Q2-2068,19/05/2026,S05,¥496.58,4,store
Q2-2069,07/05/2026,S01,¥670.82,6,store
Q2-2070,28/06/2026,S07,¥552.25,4,online
Q2-2071,11/06/2026,S04,¥297.71,1,online
Q2-2072,29/04/2026,S08,¥288.57,4,online
Q2-2073,17/06/2026,S07,¥628.75,8,store
Q2-2074,26/04/2026,S07,¥710.13,4,store
Q2-2075,08/04/2026,S04,"¥1,466.95",3,online
Q2-2076,07/06/2026,S02,¥111.79,5,online
Q2-2077,22/06/2026,S01,¥558.18,2,store
Q2-2078,20/04/2026,S02,¥499.83,8,store
Q2-2079,08/05/2026,S03,"¥1,015.63",8,online
Q2-2080,26/06/2026,S03,¥332.98,2,store
Q2-2081,17/05/2026,S02,¥732.03,6,online
Q2-2082,09/04/2026,S02,¥302.49,7,online
Q2-2083,04/04/2026,S04,¥381.94,6,store
Q2-2084,23/06/2026,S08,¥305.90,1,online
Q2-2085,06/06/2026,S08,¥273.34,8,online
Q2-2086,30/05/2026,S08,¥522.54,8,store
Q2-2087,15/04/2026,S03,¥142.98,3,store
Q2-2088,26/05/2026,S06,"¥1,066.20",7,store
Q2-2089,19/05/2026,S03,"¥1,359.46",6,store
Q2-2090,13/06/2026,S05,¥211.31,8,store
Q2-2091,08/05/2026,S06,¥620.05,5,store
Q2-2092,23/06/2026,S08,¥213.06,5,store
Q2-2093,08/06/2026,S04,¥398.20,3,store
Q2-2094,16/05/2026,S05,¥376.94,4,store
Q2-2095,24/04/2026,S07,¥728.96,6,online
Q2-2096,23/05/2026,S03,¥709.74,2,store
