order_id,date,city,amount,qty,qty_missing,payment,flag_impossible,flag_outlier
SO2026001,2026-03-21,Shenzhen,237.56,6.0,1,paid,False,False
SO2026002,2026-02-11,Shenzhen,847.24,1.0,0,unpaid,False,False
SO2026003,2026-02-21,Guangzhou,495.75,11.0,0,paid,False,False
SO2026004,2026-03-18,Guangzhou,-500.0,6.0,0,paid,True,False
SO2026005,2026-03-16,Shenzhen,2180.7,6.0,1,not_applicable,False,True
SO2026006,2026-03-02,Shenzhen,327.71,10.0,0,unknown,False,False
SO2026007,2026-01-05,Shenzhen,228.29,11.0,0,paid,False,False
SO2026008,2026-04-04,Guangzhou,0.0,6.0,0,paid,True,False
SO2026009,2026-04-24,Shenzhen,0.4,6.0,0,paid,False,False
SO2026010,2026-03-01,Shenzhen,1009.6,6.0,1,paid,False,False
SO2026011,2026-04-28,Shenzhen,351.89,8.0,0,unpaid,False,False
SO2026012,2026-02-13,Shenzhen,848.4,5.0,0,not_applicable,False,False
SO2026013,2026-02-04,Guangzhou,174.03,4.0,0,not_applicable,False,False
SO2026014,2026-04-07,Shenzhen,4386.24,3.0,0,not_applicable,False,True
SO2026015,2026-02-25,Shenzhen,587.47,2.0,0,paid,False,False
SO2026016,2026-03-12,Shenzhen,262.47,9.0,0,not_applicable,False,False
SO2026017,2026-03-04,Guangzhou,398.37,2.0,0,unpaid,False,False
SO2026018,2026-03-29,Shenzhen,1485.24,7.0,0,paid,False,False
SO2026019,2026-01-13,Guangzhou,0.5,6.0,1,paid,False,False
SO2026020,2026-03-13,Shenzhen,0.2,3.0,0,paid,False,False
SO2026021,2026-01-14,Guangzhou,425.12,9.0,0,not_applicable,False,False
SO2026022,2026-04-05,Shenzhen,320.97,8.0,0,paid,False,False
SO2026023,2026-02-14,Shenzhen,391.96,4.0,0,unpaid,False,False
SO2026024,2026-04-20,Shenzhen,187.42,6.0,1,not_applicable,False,False
SO2026025,2026-04-09,Guangzhou,217.57,6.0,0,unpaid,False,False
SO2026026,2026-04-27,Guangzhou,456.23,11.0,0,not_applicable,False,False
SO2026027,2026-03-05,Shenzhen,382.48,4.0,0,not_applicable,False,False
SO2026028,2026-01-17,Shenzhen,356.93,4.0,0,paid,False,False
SO2026029,2026-01-13,Guangzhou,340.14,4.0,0,unpaid,False,False
SO2026030,2026-04-03,Shenzhen,0.2,6.0,1,paid,False,False
SO2026031,2026-01-14,Shenzhen,207.32,10.0,0,not_applicable,False,False
SO2026032,2026-01-13,Shenzhen,0.7,3.0,0,not_applicable,False,False
SO2026033,2026-01-23,Shenzhen,0.6,4.0,0,paid,False,False
SO2026034,2026-02-28,Guangzhou,1156.14,1.0,0,not_applicable,False,False
SO2026035,2026-03-03,Guangzhou,525.73,6.0,1,unknown,False,False
SO2026036,2026-04-19,Guangzhou,1.0,11.0,0,paid,False,False
SO2026037,2026-03-16,Shenzhen,0.7,4.0,0,paid,False,False
SO2026038,2026-01-10,Guangzhou,81.09,6.0,0,not_applicable,False,False
SO2026039,2026-01-18,Guangzhou,0.2,4.0,0,not_applicable,False,False
SO2026040,2026-03-06,Shenzhen,1003.63,5.0,0,unpaid,False,False
SO2026041,2026-03-27,Guangzhou,1808.0,1.0,0,paid,False,True
SO2026042,2026-01-26,Shenzhen,903.55,2.0,0,paid,False,False
SO2026043,2026-02-24,Shenzhen,389.99,9.0,0,paid,False,False
SO2026044,2026-01-10,Shenzhen,310.1,8.0,0,unpaid,False,False
SO2026045,2026-02-22,Shenzhen,0.2,11.0,0,paid,False,False
SO2026046,2026-02-02,Guangzhou,169.72,6.0,1,not_applicable,False,False
SO2026047,2026-01-20,Guangzhou,495.51,4.0,0,paid,False,False
SO2026048,2026-04-15,Shenzhen,0.2,5.0,0,unpaid,False,False
SO2026049,2026-02-08,Guangzhou,857.76,11.0,0,unknown,False,False
SO2026050,2026-01-13,Guangzhou,940.81,8.0,0,unpaid,False,False
SO2026051,2026-04-10,Guangzhou,562.06,8.0,0,paid,False,False
SO2026052,2026-04-05,Guangzhou,897.91,8.0,0,unknown,False,False
SO2026053,2026-03-07,Shenzhen,1013.01,5.0,0,not_applicable,False,False
SO2026054,2026-01-20,Guangzhou,135.14,7.0,0,unknown,False,False
SO2026055,2026-02-23,Shenzhen,517.52,3.0,0,unknown,False,False
SO2026056,2026-02-03,Shenzhen,572.42,1.0,0,unpaid,False,False
SO2026057,2026-04-11,Shenzhen,1273.98,11.0,0,unknown,False,False
SO2026058,2026-03-01,Guangzhou,818.13,10.0,0,not_applicable,False,False
SO2026059,2026-04-21,Guangzhou,0.3,1.0,0,unpaid,False,False
SO2026060,2026-04-22,Shenzhen,0.2,4.0,0,paid,False,False
SO2026061,2026-02-25,Guangzhou,397.97,2.0,0,unknown,False,False
SO2026062,2026-01-14,Shenzhen,343.9,7.0,0,paid,False,False
SO2026063,2026-02-08,Shenzhen,453.55,6.0,0,paid,False,False
SO2026064,2026-02-19,Shenzhen,1532.42,1.0,0,not_applicable,False,False
SO2026065,2026-04-21,Guangzhou,128.46,6.0,1,paid,False,False
SO2026066,2026-04-25,Shenzhen,577.79,3.0,0,unknown,False,False
SO2026067,2026-01-17,Guangzhou,768.97,6.0,0,not_applicable,False,False
SO2026068,2026-01-22,Shenzhen,489.89,8.0,0,paid,False,False
SO2026069,2026-04-11,Guangzhou,495.64,3.0,0,not_applicable,False,False
SO2026070,2026-02-17,Guangzhou,350.68,8.0,0,not_applicable,False,False
SO2026071,2026-04-05,Shenzhen,275.88,3.0,0,paid,False,False
SO2026072,2026-04-27,Guangzhou,815.86,6.0,1,unknown,False,False
SO2026073,2026-04-06,Shenzhen,2698.57,4.0,0,paid,False,True
SO2026074,2026-01-31,Shenzhen,688.62,3.0,0,paid,False,False
SO2026075,2026-02-08,Shenzhen,0.5,8.0,0,unknown,False,False
SO2026076,2026-04-22,Guangzhou,257.86,6.0,1,paid,False,False
SO2026077,2026-01-31,Shenzhen,902.79,7.0,0,unpaid,False,False
SO2026078,2026-04-07,Shenzhen,715.85,6.0,1,paid,False,False
SO2026079,2026-04-20,Shenzhen,415.22,6.0,1,not_applicable,False,False
SO2026080,2026-02-07,Shenzhen,0.6,11.0,0,not_applicable,False,False
SO2026081,2026-03-22,Shenzhen,294.95,10.0,0,paid,False,False
SO2026082,2026-01-04,Guangzhou,1552.5,8.0,0,paid,False,False
SO2026083,2026-03-26,Shenzhen,866.96,9.0,0,paid,False,False
SO2026084,2026-04-24,Guangzhou,255.67,1.0,0,paid,False,False
SO2026085,2026-02-05,Guangzhou,0.2,3.0,0,unknown,False,False
SO2026086,2026-04-27,Guangzhou,1716.36,3.0,0,not_applicable,False,True
SO2026087,2026-03-23,Shenzhen,641.96,11.0,0,not_applicable,False,False
SO2026088,2026-04-27,Shenzhen,0.6,5.0,0,not_applicable,False,False
SO2026089,2026-04-28,Shenzhen,364.69,7.0,0,not_applicable,False,False
SO2026090,2026-03-11,Shenzhen,183.32,6.0,0,not_applicable,False,False
SO2026091,2026-01-30,Shenzhen,149.41,1.0,0,not_applicable,False,False
SO2026092,2026-01-04,Shenzhen,1544.42,3.0,0,paid,False,False
SO2026093,2026-01-09,Guangzhou,318.23,9.0,0,unpaid,False,False
SO2026094,2026-03-21,Shenzhen,590.82,4.0,0,unpaid,False,False
SO2026095,2026-01-25,Guangzhou,0.3,2.0,0,not_applicable,False,False
SO2026096,2026-04-11,Shenzhen,0.9,4.0,0,paid,False,False
SO2026097,2026-02-05,Shenzhen,1347.9,6.0,1,not_applicable,False,False
SO2026098,2026-03-19,Guangzhou,824.59,3.0,0,not_applicable,False,False
SO2026099,2026-01-27,Shenzhen,1734.22,5.0,0,paid,False,True
SO2026100,2026-04-20,Guangzhou,574.69,6.0,0,paid,False,False
SO2026101,2026-01-09,Shenzhen,0.2,10.0,0,paid,False,False
SO2026102,2026-04-06,Shenzhen,1401.4,1.0,0,not_applicable,False,False
SO2026103,2026-02-23,Shenzhen,419.31,11.0,0,unknown,False,False
SO2026104,2026-02-22,Shenzhen,695.93,1.0,0,not_applicable,False,False
SO2026105,2026-04-10,Shenzhen,416.06,4.0,0,paid,False,False
SO2026106,2026-03-24,Guangzhou,530.59,5.0,0,unpaid,False,False
SO2026107,2026-01-13,Shenzhen,0.5,2.0,0,not_applicable,False,False
SO2026108,2026-03-10,Shenzhen,32.48,5.0,0,not_applicable,False,False
SO2026109,2026-04-08,Guangzhou,559.06,3.0,0,paid,False,False
SO2026111,2026-01-10,Guangzhou,566.15,8.0,0,not_applicable,False,False
SO2026112,2026-04-20,Guangzhou,886.1,4.0,0,not_applicable,False,False
SO2026113,2026-03-22,Shenzhen,0.3,10.0,0,paid,False,False
SO2026114,2026-03-08,Shenzhen,600.76,2.0,0,unpaid,False,False
SO2026115,2026-04-27,Guangzhou,504.43,3.0,0,unknown,False,False
SO2026116,2026-01-08,Guangzhou,875.87,10.0,0,not_applicable,False,False
SO2026118,2026-03-31,Shenzhen,298.84,4.0,0,paid,False,False
SO2026119,2026-04-29,Guangzhou,420.69,7.0,0,paid,False,False
SO2026120,2026-01-23,Shenzhen,131.92,7.0,0,not_applicable,False,False
SO2026121,2026-03-29,Guangzhou,726.13,9.0,0,paid,False,False
SO2026122,2026-03-22,Guangzhou,515.23,1.0,0,not_applicable,False,False
SO2026123,2026-04-10,Shenzhen,340.97,10.0,0,not_applicable,False,False
SO2026124,2026-03-21,Shenzhen,613.41,5.0,0,paid,False,False
SO2026125,2026-04-18,Guangzhou,0.8,9.0,0,paid,False,False
SO2026126,2026-01-22,Guangzhou,0.3,3.0,0,paid,False,False
SO2026127,2026-01-13,Shenzhen,0.3,1.0,0,not_applicable,False,False
SO2026128,2026-02-02,Guangzhou,496.89,11.0,0,unknown,False,False
SO2026129,2026-02-05,Shenzhen,257.04,6.0,0,not_applicable,False,False
SO2026131,2026-02-03,Guangzhou,248.16,1.0,0,unknown,False,False
SO2026132,2026-02-21,Shenzhen,648.98,9.0,0,unpaid,False,False
SO2026133,2026-01-19,Guangzhou,0.4,10.0,0,not_applicable,False,False
SO2026134,2026-01-07,Shenzhen,388.88,1.0,0,unpaid,False,False
SO2026135,2026-03-06,Shenzhen,583.06,5.0,0,unpaid,False,False
SO2026136,2026-01-25,Shenzhen,1577.29,5.0,0,unpaid,False,True
SO2026137,2026-03-20,Guangzhou,875.22,5.0,0,paid,False,False
SO2026138,2026-04-28,Guangzhou,0.1,4.0,0,not_applicable,False,False
SO2026139,2026-01-22,Guangzhou,504.93,5.0,0,unknown,False,False
SO2026140,2026-01-16,Shenzhen,0.2,4.0,0,paid,False,False
SO2026141,2026-03-25,Shenzhen,0.3,1.0,0,not_applicable,False,False
SO2026142,2026-03-08,Guangzhou,632.12,7.0,0,paid,False,False
SO2026143,2026-02-12,Shenzhen,422.95,6.0,0,paid,False,False
SO2026144,2026-04-23,Shenzhen,281.4,2.0,0,unpaid,False,False
SO2026145,2026-01-06,Guangzhou,102.98,11.0,0,unpaid,False,False
SO2026146,2026-01-29,Guangzhou,0.7,5.0,0,not_applicable,False,False
SO2026148,2026-02-16,Guangzhou,1.1,7.0,0,paid,False,False
SO2026149,2026-02-21,Guangzhou,0.4,8.0,0,paid,False,False
SO2026150,2026-02-10,Guangzhou,482.92,4.0,0,unpaid,False,False
SO2026151,2026-03-12,Guangzhou,3231.94,3.0,0,unknown,False,True
