order_id,date,store_id,amount,qty,channel,source
Q1-1000,2026-02-10,S01,400.82,7,,Q1
Q1-1001,2026-02-06,S01,341.28,1,,Q1
Q1-1002,2026-02-17,S08,417.59,8,,Q1
Q1-1003,2026-02-07,S02,833.41,1,,Q1
Q1-1004,2026-03-12,S07,840.63,2,,Q1
Q1-1005,2026-02-10,S06,1071.38,3,,Q1
Q1-1006,2026-02-02,S07,165.84,5,,Q1
Q1-1007,2026-03-30,S08,331.82,3,,Q1
Q1-1008,2026-01-19,S02,1013.93,7,,Q1
Q1-1009,2026-02-08,S05,199.54,3,,Q1
Q1-1010,2026-01-13,S04,194.05,1,,Q1
Q1-1011,2026-02-28,S01,526.91,4,,Q1
Q1-1012,2026-03-25,S08,237.64,1,,Q1
Q1-1013,2026-01-03,S05,698.48,6,,Q1
Q1-1014,2026-01-31,S08,313.1,7,,Q1
Q1-1015,2026-03-29,S06,674.71,6,,Q1
Q1-1016,2026-03-15,S08,396.51,6,,Q1
Q1-1017,2026-03-12,S03,456.63,3,,Q1
Q1-1018,2026-03-15,S03,772.52,1,,Q1
Q1-1019,2026-03-26,S06,601.85,3,,Q1
Q1-1020,2026-03-25,S01,747.56,2,,Q1
Q1-1021,2026-03-10,S08,550.34,7,,Q1
Q1-1022,2026-03-22,S01,858.9,7,,Q1
Q1-1023,2026-03-22,S02,1077.72,8,,Q1
Q1-1024,2026-03-04,S02,877.93,5,,Q1
Q1-1025,2026-01-03,S07,464.95,3,,Q1
Q1-1026,2026-01-27,S04,167.74,6,,Q1
Q1-1027,2026-02-11,S05,1573.3,7,,Q1
Q1-1028,2026-01-11,S03,219.72,7,,Q1
Q1-1029,2026-01-28,S04,168.44,3,,Q1
Q1-1030,2026-03-11,S02,963.68,6,,Q1
Q1-1031,2026-03-27,S03,730.74,3,,Q1
Q1-1032,2026-01-10,S08,953.58,3,,Q1
Q1-1033,2026-01-11,S01,408.57,8,,Q1
Q1-1034,2026-01-02,S01,338.06,2,,Q1
Q1-1035,2026-03-06,S04,915.46,8,,Q1
Q1-1036,2026-01-08,S01,305.07,5,,Q1
Q1-1037,2026-02-10,S03,824.62,4,,Q1
Q1-1038,2026-01-11,S05,647.79,2,,Q1
Q1-1039,2026-02-06,S03,235.47,4,,Q1
Q1-1040,2026-01-19,S08,352.26,6,,Q1
Q1-1041,2026-03-26,S01,409.65,1,,Q1
Q1-1042,2026-03-11,S08,276.19,6,,Q1
Q1-1043,2026-02-20,S02,160.74,1,,Q1
Q1-1044,2026-02-11,S07,499.05,3,,Q1
Q1-1045,2026-02-03,S05,233.47,3,,Q1
Q1-1046,2026-02-11,S04,103.97,6,,Q1
Q1-1047,2026-03-01,S08,269.9,1,,Q1
Q1-1048,2026-02-13,S07,724.32,1,,Q1
Q1-1049,2026-03-01,S06,3317.83,5,,Q1
Q1-1050,2026-03-09,S06,605.98,1,,Q1
Q1-1051,2026-01-21,S03,756.37,3,,Q1
Q1-1052,2026-03-02,S08,593.8,8,,Q1
Q1-1053,2026-01-26,S02,424.83,5,,Q1
Q1-1054,2026-02-14,S08,271.68,4,,Q1
Q1-1055,2026-03-16,S07,222.03,5,,Q1
Q1-1056,2026-01-03,S06,206.05,2,,Q1
Q1-1057,2026-01-16,S01,396.39,1,,Q1
Q1-1058,2026-03-11,S07,1772.58,8,,Q1
Q1-1059,2026-01-28,S08,175.22,3,,Q1
Q1-1060,2026-03-07,S03,400.22,6,,Q1
Q1-1061,2026-01-22,S03,485.25,3,,Q1
Q1-1062,2026-02-11,S07,416.8,8,,Q1
Q1-1063,2026-03-12,S04,325.0,5,,Q1
Q1-1064,2026-03-14,S07,203.39,8,,Q1
Q1-1065,2026-01-31,S05,363.87,8,,Q1
Q1-1066,2026-02-17,S02,387.5,5,,Q1
Q1-1067,2026-02-21,S02,400.48,8,,Q1
Q1-1068,2026-02-11,S06,248.76,7,,Q1
Q1-1069,2026-01-17,S05,317.05,6,,Q1
Q1-1070,2026-03-30,S02,686.14,6,,Q1
Q1-1071,2026-02-20,S04,392.97,2,,Q1
Q1-1072,2026-03-31,S02,341.21,8,,Q1
Q1-1073,2026-03-07,S08,449.99,5,,Q1
Q1-1074,2026-01-18,S08,1156.48,7,,Q1
Q1-1075,2026-03-21,S06,514.33,1,,Q1
Q1-1076,2026-01-13,S07,1036.25,8,,Q1
Q1-1077,2026-03-01,S06,477.96,3,,Q1
Q1-1078,2026-02-15,S07,238.61,5,,Q1
Q1-1079,2026-01-22,S06,163.76,3,,Q1
Q1-1080,2026-03-05,S04,306.66,4,,Q1
Q1-1081,2026-01-15,S01,317.34,3,,Q1
Q1-1082,2026-01-23,S06,278.95,8,,Q1
Q1-1083,2026-02-09,S06,785.82,4,,Q1
Q1-1084,2026-03-06,S07,273.37,8,,Q1
Q1-1085,2026-03-25,S01,666.74,8,,Q1
Q1-1086,2026-02-19,S03,271.06,7,,Q1
Q1-1087,2026-03-22,S05,678.93,8,,Q1
Q1-1088,2026-01-20,S02,507.17,6,,Q1
Q1-1089,2026-03-16,S01,494.79,4,,Q1
Q1-1090,2026-02-25,S01,1385.85,5,,Q1
Q1-1091,2026-01-30,S05,646.74,5,,Q1
Q1-1092,2026-01-23,S05,460.63,6,,Q1
Q1-1093,2026-01-01,S08,506.82,4,,Q1
Q1-1094,2026-02-03,S01,335.77,1,,Q1
Q1-1095,2026-03-30,S08,307.29,1,,Q1
Q1-1096,2026-03-28,S05,632.76,5,,Q1
Q1-1097,2026-02-05,S03,778.13,8,,Q1
Q1-1098,2026-03-14,S07,327.7,3,,Q1
Q1-1099,2026-03-22,S03,320.08,5,,Q1
Q1-1100,2026-03-11,S04,362.99,8,,Q1
Q1-1101,2026-01-13,S06,408.77,7,,Q1
Q1-1102,2026-01-22,S01,184.99,6,,Q1
Q1-1103,2026-02-13,S07,400.66,4,,Q1
Q1-1104,2026-01-07,S02,441.57,2,,Q1
Q1-1105,2026-02-09,S01,722.39,3,,Q1
Q1-1106,2026-01-16,S05,336.93,7,,Q1
Q1-1107,2026-02-10,S08,765.31,4,,Q1
Q1-1108,2026-01-24,S07,1331.85,5,,Q1
Q1-1109,2026-01-12,S01,154.29,1,,Q1
Q1-1110,2026-01-03,S04,460.76,5,,Q1
Q1-1111,2026-01-24,S03,2583.0,7,,Q1
Q1-1112,2026-03-11,S03,464.71,1,,Q1
Q1-1113,2026-03-16,S07,709.25,6,,Q1
Q1-1114,2026-03-03,S04,573.04,2,,Q1
Q1-1115,2026-01-23,S07,263.33,5,,Q1
Q1-1116,2026-03-08,S04,431.45,8,,Q1
Q1-1117,2026-01-01,S06,147.9,2,,Q1
Q1-1118,2026-02-14,S02,165.58,4,,Q1
Q1-1119,2026-01-03,S05,573.87,1,,Q1
Q1-1120,2026-01-25,S06,232.36,4,,Q1
Q1-1121,2026-02-03,S04,567.13,2,,Q1
Q1-1122,2026-02-27,S08,876.65,6,,Q1
Q1-1123,2026-02-04,S08,719.76,1,,Q1
Q1-1124,2026-03-22,S04,356.12,6,,Q1
Q1-1125,2026-02-23,S08,697.14,3,,Q1
Q1-1126,2026-01-09,S01,191.59,5,,Q1
Q1-1127,2026-01-30,S01,1338.99,1,,Q1
Q1-1128,2026-02-09,S06,721.97,7,,Q1
Q1-1129,2026-01-26,S04,716.19,8,,Q1
Q1-1130,2026-03-11,S03,406.88,1,,Q1
Q1-1131,2026-03-26,S07,699.94,2,,Q1
Q1-1132,2026-03-23,S04,2238.41,2,,Q1
Q1-1133,2026-02-15,S02,387.12,1,,Q1
Q1-1134,2026-02-06,S03,226.07,7,,Q1
Q1-1135,2026-02-20,S03,278.76,8,,Q1
Q1-1136,2026-01-22,S03,178.82,3,,Q1
Q1-1137,2026-02-07,S06,417.8,4,,Q1
Q1-1138,2026-02-12,S06,368.14,8,,Q1
Q1-1139,2026-01-31,S07,203.4,6,,Q1
Q1-1140,2026-03-30,S02,415.21,4,,Q1
Q1-1141,2026-01-14,S05,167.23,5,,Q1
Q1-1142,2026-02-14,S05,179.22,2,,Q1
Q1-1143,2026-03-05,S03,1030.16,8,,Q1
Q1-1144,2026-01-06,S08,457.74,7,,Q1
Q1-1145,2026-02-06,S06,241.0,2,,Q1
Q1-1146,2026-03-07,S06,398.02,5,,Q1
Q1-1147,2026-01-15,S01,1438.68,4,,Q1
Q1-1148,2026-03-20,S07,488.47,2,,Q1
Q1-1149,2026-02-08,S07,538.43,5,,Q1
Q1-1150,2026-03-03,S06,524.75,3,,Q1
Q1-1151,2026-02-16,S04,991.82,2,,Q1
Q1-1152,2026-01-23,S08,360.84,3,,Q1
Q1-1153,2026-01-22,S07,518.51,5,,Q1
Q1-1154,2026-03-22,S06,384.93,6,,Q1
Q1-1155,2026-01-29,S06,1136.75,3,,Q1
Q1-1156,2026-01-07,S02,379.97,6,,Q1
Q1-1157,2026-01-02,S02,456.67,7,,Q1
Q1-1158,2026-01-23,S08,298.31,7,,Q1
Q1-1159,2026-02-19,S06,391.31,1,,Q1
Q1-1160,2026-03-13,S02,408.17,4,,Q1
Q1-1161,2026-01-07,S05,476.54,4,,Q1
Q1-1162,2026-03-23,S01,332.28,7,,Q1
Q1-1163,2026-02-15,S08,230.85,7,,Q1
Q1-1164,2026-01-09,S03,326.05,6,,Q1
Q1-1165,2026-02-05,S07,581.71,6,,Q1
Q1-1166,2026-03-02,S01,856.39,7,,Q1
Q1-1167,2026-01-06,S05,420.38,1,,Q1
Q1-1168,2026-01-06,S07,1871.34,1,,Q1
Q1-1169,2026-03-15,S07,352.38,1,,Q1
Q1-1170,2026-03-13,S07,160.76,8,,Q1
Q1-1171,2026-02-19,S05,1936.04,3,,Q1
Q1-1172,2026-02-01,S06,246.65,2,,Q1
Q1-1173,2026-01-20,S01,867.38,1,,Q1
Q1-1174,2026-01-03,S03,208.35,5,,Q1
Q1-1175,2026-01-15,S07,362.87,3,,Q1
Q1-1176,2026-02-24,S04,653.47,4,,Q1
Q1-1177,2026-01-25,S03,406.18,4,,Q1
Q1-1178,2026-02-22,S07,294.81,4,,Q1
Q1-1179,2026-02-24,S08,502.3,2,,Q1
Q1-1180,2026-01-14,S05,370.94,2,,Q1
Q1-1181,2026-03-26,S07,444.0,3,,Q1
Q1-1182,2026-02-16,S02,901.38,2,,Q1
Q1-1183,2026-01-29,S06,202.04,3,,Q1
Q1-1184,2026-02-03,S03,443.43,2,,Q1
Q1-1185,2026-03-11,S01,499.84,7,,Q1
Q1-1186,2026-01-03,S05,162.65,8,,Q1
Q1-1187,2026-02-18,S04,359.92,8,,Q1
Q1-1188,2026-03-15,S02,761.9,6,,Q1
Q1-1189,2026-01-31,S06,341.6,7,,Q1
Q1-1190,2026-03-07,S02,328.62,2,,Q1
Q1-1191,2026-02-12,S02,387.91,6,,Q1
Q1-1192,2026-01-14,S04,1083.31,5,,Q1
Q1-1193,2026-03-11,S08,204.27,5,,Q1
Q1-1194,2026-01-30,S07,316.76,6,,Q1
Q1-1195,2026-02-02,S04,144.35,2,,Q1
Q1-1196,2026-02-20,S08,519.24,3,,Q1
Q1-1197,2026-01-24,S08,386.91,2,,Q1
Q1-1198,2026-03-21,S06,466.1,1,,Q1
Q1-1199,2026-02-02,S03,164.84,6,,Q1
Q1-1200,2026-02-27,S07,511.12,5,,Q1
Q1-1201,2026-03-12,S08,505.94,2,,Q1
Q1-1202,2026-01-15,S07,354.2,1,,Q1
Q1-1203,2026-01-13,S02,566.01,1,,Q1
Q1-1204,2026-01-07,S06,545.18,4,,Q1
Q1-1205,2026-02-07,S08,166.58,3,,Q1
Q1-1206,2026-02-10,S03,239.01,7,,Q1
Q1-1207,2026-03-22,S01,1544.23,2,,Q1
Q1-1208,2026-03-27,S08,293.8,5,,Q1
Q1-1209,2026-01-09,S08,299.52,4,,Q1
Q1-1210,2026-02-19,S06,596.93,3,,Q1
Q1-1211,2026-01-08,S07,522.14,2,,Q1
Q1-1212,2026-01-24,S08,247.75,5,,Q1
Q1-1213,2026-03-13,S02,146.79,7,,Q1
Q1-1214,2026-02-18,S02,737.07,1,,Q1
Q1-1215,2026-03-01,S03,527.48,7,,Q1
Q1-1216,2026-01-20,S07,553.75,2,,Q1
Q1-1217,2026-03-13,S06,651.5,8,,Q1
Q1-1218,2026-03-24,S07,403.59,2,,Q1
Q1-1219,2026-03-12,S08,1003.5,7,,Q1
Q1-1220,2026-02-16,S02,584.61,6,,Q1
Q1-1221,2026-01-30,S08,413.46,7,,Q1
Q1-1222,2026-03-25,S06,475.18,2,,Q1
Q1-1223,2026-01-23,S08,335.63,6,,Q1
Q1-1224,2026-01-01,S05,841.08,1,,Q1
Q1-1225,2026-02-25,S08,1426.63,5,,Q1
Q1-1226,2026-02-21,S07,420.64,1,,Q1
Q1-1227,2026-02-28,S03,523.91,2,,Q1
Q1-1228,2026-03-07,S04,332.21,4,,Q1
Q1-1229,2026-01-02,S01,404.59,2,,Q1
Q1-1230,2026-03-07,S05,594.84,2,,Q1
Q1-1231,2026-01-25,S07,391.76,5,,Q1
Q1-1232,2026-01-31,S06,342.97,7,,Q1
Q1-1233,2026-03-04,S03,215.98,3,,Q1
Q1-1234,2026-02-19,S05,398.03,4,,Q1
Q1-1235,2026-03-29,S07,1086.38,8,,Q1
Q1-1236,2026-01-08,S07,648.32,5,,Q1
Q1-1237,2026-02-23,S03,1770.91,6,,Q1
Q1-1238,2026-01-03,S01,483.4,6,,Q1
Q1-1239,2026-02-03,S08,2135.66,3,,Q1
Q2-2000,2026-04-09,S01,1037.12,3,store,Q2
Q2-2001,2026-06-16,S07,173.37,6,online,Q2
Q2-2002,2026-04-22,S02,414.72,1,store,Q2
Q2-2003,2026-05-05,S03,401.55,2,online,Q2
Q2-2004,2026-04-25,S07,200.25,1,store,Q2
Q2-2005,2026-04-03,S01,180.19,8,store,Q2
Q2-2006,2026-04-27,S05,249.41,5,store,Q2
Q2-2007,2026-04-25,S03,171.84,4,store,Q2
Q2-2008,2026-06-28,S05,240.32,3,online,Q2
Q2-2009,2026-04-08,S02,1010.75,5,store,Q2
Q2-2010,2026-05-09,S02,785.98,7,store,Q2
Q2-2011,2026-06-22,S04,864.6,2,online,Q2
Q2-2012,2026-06-09,S05,300.87,6,store,Q2
Q2-2013,2026-05-20,S03,1071.41,5,store,Q2
Q2-2014,2026-05-23,S08,359.19,3,online,Q2
Q2-2015,2026-06-24,S04,187.08,5,online,Q2
Q2-2016,2026-05-02,S01,254.47,5,online,Q2
Q2-2017,2026-06-10,S08,344.15,4,online,Q2
Q2-2018,2026-06-13,S01,358.77,3,store,Q2
Q2-2019,2026-06-01,S05,551.93,8,store,Q2
Q2-2020,2026-06-19,S02,757.34,1,store,Q2
Q2-2021,2026-05-22,S08,1058.88,1,store,Q2
Q2-2022,2026-05-03,S06,528.46,2,store,Q2
