order_id,date_raw,city_raw,amount_raw,qty,payment_raw
SO2026001,20260321,SHENZHEN ,237.56 RMB,,Paid
SO2026002,20260211,shenzhen,¥847.24,1.0,unpaid
SO2026003,2026-02-21,Guangzhou,495.75 RMB,11.0,Paid
SO2026004,20260318,Guang Zhou,-500.00,6.0,paid
SO2026005,16/03/2026,Shenzhen," 2,180.70 ",,-
SO2026006,02/03/2026,shenzhen,327.71 RMB,10.0,N/A
SO2026007,20260105, Shenzhen,228.29 RMB,11.0,PAID
SO2026008,04/04/2026,Guangzhou City,0,6.0,PAID
SO2026009,2026-04-24,Shenzhen,0.4 thousand CNY,6.0,paid
SO2026010,2026-03-01,shenzhen," 1,009.60 ",,paid
SO2026011,20260428,SHENZHEN , 351.89 ,8.0,unpaid
SO2026012,2026-02-13, Shenzhen,848.40 RMB,5.0,-
SO2026013,2026-02-04,Guangzhou City,174.03 RMB,4.0,-
SO2026014,07/04/2026,Shenzhen,4386.24 RMB,3.0,Not Applicable
SO2026015,25/02/2026, Shenzhen, 587.47 ,2.0,paid
SO2026016,2026-03-12, Shenzhen, 262.47 ,9.0,-
SO2026017,20260304,Guangzhou,398.37 RMB,2.0,unpaid
SO2026018,20260329,Shenzhen,"¥1,485.24",7.0,PAID
SO2026019,20260113,Guangzhou City,0.5 thousand CNY,,Paid
SO2026020,13/03/2026,shenzhen,0.2 thousand CNY,3.0,paid
SO2026021,2026-01-14,Guang Zhou, 425.12 ,9.0,Not Applicable
SO2026022,20260405,shenzhen, 320.97 ,8.0,Paid
SO2026023,20260214, Shenzhen,391.96 RMB,4.0,unpaid
SO2026024,20/04/2026,Shenzhen,187.42 RMB,,Not Applicable
SO2026025,2026-04-09,Guangzhou, 217.57 ,6.0,unpaid
SO2026026,20260427,Guangzhou City, 456.23 ,11.0,Not Applicable
SO2026027,2026-03-05,SHENZHEN ,¥382.48,4.0,Not Applicable
SO2026028,2026-01-17,SHENZHEN ,356.93 RMB,4.0,Paid
SO2026029,20260113,Guangzhou City,340.14 RMB,4.0,unpaid
SO2026030,03/04/2026,SHENZHEN ,0.2 thousand CNY,,Paid
SO2026031,14/01/2026,SHENZHEN ,¥207.32,10.0,Not Applicable
SO2026032,13/01/2026,shenzhen,0.7 thousand CNY,3.0,-
SO2026033,2026-01-23,Shenzhen,0.6 thousand CNY,4.0,PAID
SO2026034,28/02/2026,Guangzhou,"¥1,156.14",1.0,-
SO2026035,2026-03-03,Guangzhou,525.73 RMB,,N/A
SO2026036,19/04/2026,Guang Zhou,1.0 thousand CNY,11.0,paid
SO2026037,20260316,SHENZHEN ,0.7 thousand CNY,4.0,Paid
SO2026038,20260110,Guangzhou, 81.09 ,6.0,-
SO2026039,2026-01-18,Guangzhou City,0.2 thousand CNY,4.0,-
SO2026040,06/03/2026, Shenzhen," 1,003.63 ",5.0,unpaid
SO2026041,27/03/2026,Guangzhou," 1,808.00 ",1.0,PAID
SO2026042,20260126,Shenzhen,¥903.55,2.0,paid
SO2026043,20260224, Shenzhen, 389.99 ,9.0,PAID
SO2026044,2026-01-10,Shenzhen,¥310.10,8.0,unpaid
SO2026045,20260222,Shenzhen,0.2 thousand CNY,11.0,PAID
SO2026046,2026-02-02,Guangzhou,169.72 RMB,,Not Applicable
SO2026047,20260120,Guangzhou, 495.51 ,4.0,paid
SO2026048,15/04/2026, Shenzhen,0.2 thousand CNY,5.0,unpaid
SO2026049,20260208,Guangzhou, 857.76 ,11.0,N/A
SO2026050,13/01/2026,Guangzhou,940.81 RMB,8.0,unpaid
SO2026051,2026-04-10,Guangzhou City,562.06 RMB,8.0,PAID
SO2026052,2026-04-05,Guang Zhou,¥897.91,8.0,N/A
SO2026053,2026-03-07,shenzhen,"¥1,013.01",5.0,-
SO2026054,20/01/2026,Guangzhou,¥135.14,7.0,N/A
SO2026055,23/02/2026,Shenzhen, 517.52 ,3.0,N/A
SO2026056,03/02/2026, Shenzhen, 572.42 ,1.0,unpaid
SO2026057,2026-04-11, Shenzhen,1273.98 RMB,11.0,N/A
SO2026058,01/03/2026,Guangzhou City, 818.13 ,10.0,Not Applicable
SO2026059,21/04/2026,Guangzhou City,0.3 thousand CNY,1.0,unpaid
SO2026060,22/04/2026,shenzhen,0.2 thousand CNY,4.0,PAID
SO2026061,2026-02-25,Guangzhou,397.97 RMB,2.0,N/A
SO2026062,2026-01-14, Shenzhen, 343.90 ,7.0,PAID
SO2026063,20260208,shenzhen,453.55 RMB,6.0,PAID
SO2026064,2026-02-19,shenzhen," 1,532.42 ",1.0,Not Applicable
SO2026065,20260421,Guangzhou, 128.46 ,,PAID
SO2026066,25/04/2026,SHENZHEN , 577.79 ,3.0,N/A
SO2026067,2026-01-17,Guangzhou, 768.97 ,6.0,Not Applicable
SO2026068,2026-01-22,SHENZHEN ,¥489.89,8.0,paid
SO2026069,20260411,Guang Zhou, 495.64 ,3.0,-
SO2026070,2026-02-17,Guang Zhou, 350.68 ,8.0,Not Applicable
SO2026071,05/04/2026, Shenzhen,275.88 RMB,3.0,paid
SO2026072,2026-04-27,Guangzhou, 815.86 ,,N/A
SO2026073,20260406,SHENZHEN ,"¥2,698.57",4.0,paid
SO2026074,20260131,Shenzhen,688.62 RMB,3.0,PAID
SO2026075,20260208,shenzhen,0.5 thousand CNY,8.0,N/A
SO2026076,20260422,Guangzhou, 257.86 ,,paid
SO2026077,31/01/2026,SHENZHEN ,902.79 RMB,7.0,unpaid
SO2026078,07/04/2026,SHENZHEN ,715.85 RMB,,paid
SO2026079,20/04/2026,Shenzhen,¥415.22,,-
SO2026080,2026-02-07,shenzhen,0.6 thousand CNY,11.0,-
SO2026081,22/03/2026, Shenzhen,294.95 RMB,10.0,paid
SO2026082,04/01/2026,Guangzhou City,"¥1,552.50",8.0,paid
SO2026083,20260326,SHENZHEN ,866.96 RMB,9.0,Paid
SO2026084,20260424,Guangzhou City,255.67 RMB,1.0,paid
SO2026085,05/02/2026,Guangzhou,0.2 thousand CNY,3.0,N/A
SO2026086,2026-04-27,Guang Zhou," 1,716.36 ",3.0,Not Applicable
SO2026087,23/03/2026,shenzhen,¥641.96,11.0,Not Applicable
SO2026088,27/04/2026,Shenzhen,0.6 thousand CNY,5.0,Not Applicable
SO2026089,2026-04-28,shenzhen,364.69 RMB,7.0,Not Applicable
SO2026090,2026-03-11,Shenzhen,¥183.32,6.0,-
SO2026091,20260130,Shenzhen,149.41 RMB,1.0,Not Applicable
SO2026092,20260104, Shenzhen,1544.42 RMB,3.0,Paid
SO2026093,2026-01-09,Guangzhou,¥318.23,9.0,unpaid
SO2026094,2026-03-21,SHENZHEN ,¥590.82,4.0,unpaid
SO2026095,2026-01-25,Guang Zhou,0.3 thousand CNY,2.0,Not Applicable
SO2026096,20260411, Shenzhen,0.9 thousand CNY,4.0,PAID
SO2026097,2026-02-05,Shenzhen,"¥1,347.90",,-
SO2026098,19/03/2026,Guangzhou City,¥824.59,3.0,Not Applicable
SO2026099,20260127,shenzhen," 1,734.22 ",5.0,PAID
SO2026100,20/04/2026,Guangzhou, 574.69 ,6.0,paid
SO2026101,09/01/2026,Shenzhen,0.2 thousand CNY,10.0,Paid
SO2026102,06/04/2026, Shenzhen,"¥1,401.40",1.0,Not Applicable
SO2026103,2026-02-23,Shenzhen,¥419.31,11.0,N/A
SO2026104,2026-02-22,SHENZHEN , 695.93 ,1.0,Not Applicable
SO2026105,20260410, Shenzhen,416.06 RMB,4.0,Paid
SO2026106,2026-03-24,Guang Zhou,530.59 RMB,5.0,unpaid
SO2026107,20260113,SHENZHEN ,0.5 thousand CNY,2.0,Not Applicable
SO2026108,20260310,SHENZHEN ,32.48 RMB,5.0,Not Applicable
SO2026109,2026-04-08,Guangzhou,559.06 RMB,3.0,PAID
SO2026109,20260110,Shenzhen,0.7 thousand CNY,5.0,unpaid
SO2026111,20260110,Guangzhou City,566.15 RMB,8.0,-
SO2026112,20260420,Guangzhou,¥886.10,4.0,-
SO2026113,22/03/2026, Shenzhen,0.3 thousand CNY,10.0,PAID
