firm_id,month,revenue
F01,1,543.2
F01,2,492.4
F01,3,519.4
F01,4,667.4
F01,5,358.9
F01,6,576.6
F01,7,329.5
F01,8,362.5
F01,9,430.1
F01,10,960.9
F01,11,436.5
F01,12,531.9
F02,1,675.1
F02,2,389.1
F02,3,275.8
F02,4,523.2
F02,5,236.9
F02,6,577.7
F02,7,517.7
F02,8,421.1
F02,9,570.8
F02,10,409.0
F02,11,604.2
F02,12,365.9
F03,1,612.6
F03,2,342.5
F03,3,
F03,4,
F03,5,
F03,6,304.4
F03,7,534.1
F03,8,279.9
F03,9,842.5
F03,10,585.2
F03,11,190.7
F03,12,473.4
F04,1,613.1
F04,2,379.4
F04,3,350.5
F04,4,651.4
F04,5,407.8
F04,6,381.0
F04,7,370.8
F04,8,567.7
F04,9,334.3
F04,10,380.4
F04,11,618.3
F04,12,357.7
F05,1,364.3
F05,2,687.4
F05,3,
F05,4,
F05,5,
F05,6,345.4
F05,7,327.3
F05,8,964.9
F05,9,685.6
F05,10,333.5
F05,11,467.1
F05,12,376.2
F06,1,394.0
F06,2,428.2
F06,3,319.8
F06,4,347.8
F06,5,279.6
F06,6,469.7
F06,7,390.8
F06,8,478.1
F06,9,575.8
F06,10,
F06,11,
F06,12,
