firm_id,month,revenue,revenue_interpolated,filled_flag
F1,1,89.85,89.85,False
F1,2,90.66,90.66,False
F1,3,90.61,90.61,False
F1,4,89.74,89.74,False
F1,5,90.78,90.78,False
F1,6,92.05,92.05,False
F1,7,92.91,92.91,False
F1,8,92.78,92.78,False
F1,9,92.11,92.11,False
F2,1,116.11,116.11,False
F2,2,119.46,119.46,False
F2,3,119.5,119.5,False
F2,4,120.34,120.34,True
F2,5,121.17999999999999,121.17999999999999,True
F2,6,122.02,122.02,False
F2,7,123.86,123.86,False
F2,8,125.16,125.16,False
F2,9,125.26,125.26,False
F2,10,126.98,126.98,False
F2,11,126.41,126.41,False
F3,1,139.57,139.57,False
F3,2,141.14,141.14,False
F3,3,142.3,142.3,False
F3,4,143.44,143.44,False
F3,5,142.41,142.41,False
F3,6,141.93,141.93,False
F3,7,142.42,142.42,False
F3,8,143.28,143.28,False
