store_id,month,sales,category,bucket,quartile,cat_code,cat_label
S01,2026-01,39.5,home,<40,Q1,0,home
S02,2026-01,73.2,home,40-80,Q3,0,home
S03,2026-01,86.0,food,80-140,Q4,1,food
S04,2026-01,71.9,home,40-80,Q3,0,home
S01,2026-02,36.5,home,<40,Q1,0,home
S02,2026-02,71.5,drink,40-80,Q3,2,drink
S03,2026-02,87.0,food,80-140,Q4,1,food
S04,2026-02,52.6,food,40-80,Q2,1,food
S01,2026-03,42.0,food,40-80,Q1,1,food
S02,2026-03,46.7,drink,40-80,Q1,2,drink
S03,2026-03,43.1,food,40-80,Q1,1,food
S04,2026-03,70.0,drink,40-80,Q3,2,drink
S01,2026-04,75.7,drink,40-80,Q3,2,drink
S02,2026-04,53.8,drink,40-80,Q2,2,drink
S03,2026-04,102.1,food,80-140,Q4,1,food
S04,2026-04,85.3,drink,80-140,Q3,2,drink
S01,2026-05,92.6,home,80-140,Q4,0,home
S02,2026-05,68.6,home,40-80,Q2,0,home
S03,2026-05,53.9,food,40-80,Q2,1,food
S04,2026-05,100.7,drink,80-140,Q4,2,drink
S01,2026-06,38.3,food,<40,Q1,1,food
S02,2026-06,102.6,home,80-140,Q4,0,home
S03,2026-06,62.1,food,40-80,Q2,1,food
S04,2026-06,57.6,drink,40-80,Q2,2,drink
