track_id,t_sec,lat,lon,speed_mps
粤B·A1234,0,22.533701,113.929994,8.7
粤B·A1234,5,22.534086,113.930001,8.82
粤B·A1234,10,22.534437,113.93006,7.78
粤B·A1234,15,22.534777,113.930161,7.84
粤B·A1234,20,22.535196,113.930211,9.25
粤B·A1234,25,22.535531,113.930247,7.52
粤B·A1234,30,22.535986,113.930278,9.68
粤B·A1234,35,22.536279,113.930351,7.33
粤B·A1234,40,22.536602,113.930416,7.26
粤B·A1234,45,22.536863,113.930529,6.39
粤B·A1234,50,22.537275,113.930743,9.97
粤B·A1234,55,22.537728,113.930984,10.83
粤B·A1234,60,22.538,113.931123,7.05
粤B·A1234,65,22.53829,113.931315,7.27
粤B·A1234,70,22.538649,113.931522,9.45
粤B·A1234,75,22.538903,113.931783,7.28
粤B·A1234,80,22.539155,113.93204,8.17
粤B·A1234,85,22.539475,113.932389,9.81
粤B·A1234,90,22.539684,113.932629,7.15
粤B·A1234,95,22.539957,113.932828,6.9
粤B·A1234,100,22.540269,113.933126,9.16
粤B·A1234,105,22.540505,113.933405,8.21
粤B·A1234,110,22.540792,113.933769,9.51
粤B·A1234,115,22.541236,113.934138,12.62
粤B·A1234,120,22.54156,113.934383,9.0
粤B·A1234,125,22.541882,113.934679,9.04
粤B·A1234,130,22.542195,113.935023,9.79
粤B·A1234,135,22.542419,113.935205,6.15
粤B·A1234,140,22.542656,113.935421,7.05
粤B·A1234,145,22.543005,113.935737,10.02
粤B·A1234,150,22.543291,113.935896,7.17
粤B·A1234,155,22.543635,113.936104,8.78
粤B·A1234,160,22.543898,113.936255,6.62
粤B·A1234,165,22.544192,113.936487,8.57
粤B·A1234,170,22.544488,113.936796,8.22
粤B·A1234,175,22.54467,113.937089,7.44
粤B·A1234,180,22.5449,113.93742,8.84
粤B·A1234,185,22.545198,113.937761,9.1
粤B·A1234,190,22.545338,113.938073,7.5
粤B·A1234,195,22.545687,113.938455,10.81
粤B·A1234,200,22.545933,113.938891,10.47
粤B·A1234,205,22.546063,113.939312,9.21
粤B·A1234,210,22.546222,113.939866,11.78
粤B·A1234,215,22.546264,113.940333,9.57
粤B·A1234,220,22.54635,113.940657,6.45
粤B·A1234,225,22.546462,113.941122,10.41
粤B·A1234,230,22.546636,113.941495,8.87
粤B·A1234,235,22.546782,113.942149,13.19
粤B·A1234,240,22.546829,113.942618,9.92
粤B·A1234,245,22.546984,113.943092,10.35
粤B·A1234,250,22.547072,113.943462,8.1
粤B·A1234,255,22.547183,113.943794,6.55
粤B·A1234,260,22.547184,113.944183,8.46
粤B·A1234,265,22.547252,113.944657,9.72
粤B·A1234,270,22.547312,113.945089,8.97
粤B·A1234,275,22.547378,113.945505,8.9
粤B·A1234,280,22.547487,113.945881,8.04
粤B·A1234,285,22.547553,113.946377,10.23
粤B·A1234,290,22.547715,113.946836,9.66
粤B·A1234,295,22.547876,113.947278,9.96
粤B·A1234,300,22.548041,113.947603,7.58
粤B·A1234,305,22.548162,113.947996,8.4
粤B·A1234,310,22.548454,113.948426,10.93
粤B·A1234,315,22.548672,113.948754,8.46
粤B·A1234,320,22.548885,113.949107,8.88
粤B·A1234,325,22.54903,113.94938,6.27
粤B·A1234,330,22.549185,113.949752,8.35
粤B·A1234,335,22.549417,113.950127,8.85
粤B·A1234,340,22.549554,113.950493,8.28
粤B·A1234,345,22.549717,113.950862,8.41
粤B·A1234,350,22.549907,113.951264,9.14
粤B·A1234,355,22.550122,113.951596,9.01
粤B·A1234,360,22.550305,113.951989,8.41
粤B·A1234,365,22.550391,113.95234,7.72
