city,year,gdp_per_capita
深圳,2025,111505.0
上海,2025,161720.0
北京,2025,151446.0
广州,2025,80808.0
杭州,2025,134586.0
苏州,2025,141149.0
南京,2025,126554.0
宁波,2025,134737.0
无锡,2025,144537.0
武汉,2025,150102.0
成都,2025,144495.0
长沙,2025,125333.0
青岛,2025,164579.0
天津,2025,98189.0
郑州,2025,161900.0
合肥,2025,134455.0
福州,2025,192364.0
济南,2025,89725.0
西安,2025,177734.0
重庆,2025,152558.0
东莞,2025,157991.0
佛山,2025,160725.0
常州,2025,184742.0
南通,2025,164123.0
大连,2025,123826.0
沈阳,2025,216950.0
昆明,2025,129511.0
南昌,2025,223198.0
贵阳,2025,160455.0
哈尔滨,2025,227458.0
