firm,year,revenue,roa
F01,2016,49.76,0.0368
F01,2017,49.63,0.0551
F01,2018,59.47,0.041
F01,2019,62.86,0.056
F01,2020,68.19,0.036
F01,2021,77.44,0.0837
F01,2022,82.92,0.0734
F01,2023,83.94,0.074
F01,2024,104.92,0.0728
F01,2025,98.97,0.0475
F02,2016,61.69,0.0869
F02,2017,65.03,0.0723
F02,2018,69.84,0.0998
F02,2019,73.83,0.0699
F02,2020,72.21,0.0803
F02,2021,70.55,0.067
F02,2022,70.77,0.0823
F02,2023,75.25,0.0559
F02,2024,73.19,0.0816
F02,2025,94.26,0.0774
F03,2016,71.37,0.0876
F03,2017,73.54,0.0808
F03,2018,96.85,0.0619
F03,2019,113.52,0.056
F03,2020,119.44,0.0612
F03,2021,142.87,0.0558
F03,2022,171.4,0.0574
F03,2023,204.29,0.0559
F03,2024,228.53,0.0561
F03,2025,281.03,0.0984
F04,2016,90.92,0.05
F04,2017,90.32,0.0838
F04,2018,93.79,0.0753
F04,2019,105.21,0.0661
F04,2020,115.83,0.0781
F04,2021,114.96,0.0446
F04,2022,128.7,0.1011
F04,2023,141.91,0.0588
F04,2024,154.13,0.0697
F04,2025,165.99,0.0644
F05,2016,95.11,0.0895
F05,2017,118.52,0.0749
F05,2018,123.72,0.0536
F05,2019,138.47,0.0911
F05,2020,133.9,0.0861
F05,2021,150.97,0.0861
F05,2022,170.55,0.1088
F05,2023,174.23,0.07
F05,2024,197.57,0.0471
F05,2025,214.88,0.084
F06,2016,107.84,0.0657
F06,2017,122.98,0.0682
F06,2018,144.92,0.0965
F06,2019,153.12,0.0577
F06,2020,170.55,0.0675
F06,2021,187.75,0.0494
F06,2022,198.78,0.1073
F06,2023,234.82,0.0758
F06,2024,242.62,0.1117
F06,2025,266.02,0.1002
F07,2016,121.62,0.0923
F07,2017,131.59,0.0929
F07,2018,145.39,0.0936
F07,2019,166.28,0.0851
F07,2020,172.71,0.1177
F07,2021,219.36,0.0748
F07,2022,240.75,0.0652
F07,2023,241.16,0.0798
F07,2024,312.61,0.098
F07,2025,292.98,0.0531
F08,2016,136.87,0.0995
F08,2017,138.79,0.0717
F08,2018,154.33,0.0887
F08,2019,168.18,0.1069
F08,2020,171.32,0.1034
F08,2021,174.29,0.0728
F08,2022,220.08,0.0984
F08,2023,250.05,0.1152
F08,2024,245.47,0.0945
F08,2025,276.2,0.0629
