month,cpi,yoy_pct
2016-01,100.08,
2016-02,99.85,
2016-03,101.29,
2016-04,100.83,
2016-05,101.39,
2016-06,101.18,
2016-07,101.0,
2016-08,100.98,
2016-09,100.2,
2016-10,100.54,
2016-11,101.17,
2016-12,100.87,
2017-01,101.13,1.05
2017-02,103.03,3.19
2017-03,102.21,0.91
2017-04,103.21,2.36
2017-05,103.27,1.85
2017-06,102.2,1.01
2017-07,103.1,2.08
2017-08,102.27,1.27
2017-09,102.65,2.45
2017-10,102.73,2.17
2017-11,103.26,2.06
2017-12,102.73,1.85
2018-01,104.0,2.84
2018-02,104.13,1.07
2018-03,104.31,2.06
2018-04,104.75,1.49
2018-05,104.59,1.29
2018-06,104.49,2.24
2018-07,104.6,1.45
2018-08,104.93,2.6
2018-09,104.15,1.46
2018-10,104.43,1.66
2018-11,104.12,0.83
2018-12,104.59,1.81
2019-01,105.32,1.26
2019-02,105.41,1.23
2019-03,106.78,2.36
2019-04,105.93,1.13
2019-05,106.67,1.99
2019-06,106.51,1.93
2019-07,106.61,1.92
2019-08,106.1,1.12
2019-09,106.42,2.18
2019-10,106.5,1.99
2019-11,106.06,1.87
2019-12,106.13,1.47
2020-01,107.71,2.27
2020-02,108.2,2.64
2020-03,108.23,1.36
2020-04,108.33,2.27
2020-05,108.79,1.99
2020-06,108.35,1.73
2020-07,108.43,1.71
2020-08,108.35,2.12
2020-09,108.03,1.51
2020-10,107.38,0.82
2020-11,107.72,1.56
2020-12,108.7,2.42
2021-01,108.99,1.19
2021-02,109.48,1.19
2021-03,109.66,1.32
2021-04,109.99,1.53
2021-05,110.89,1.92
2021-06,109.91,1.44
2021-07,109.95,1.39
2021-08,109.51,1.07
2021-09,109.5,1.35
2021-10,109.54,2.01
2021-11,110.11,2.22
2021-12,109.85,1.06
2022-01,110.98,1.82
2022-02,111.12,1.5
2022-03,112.33,2.44
2022-04,112.3,2.1
2022-05,112.17,1.16
2022-06,112.35,2.22
2022-07,111.7,1.6
2022-08,111.79,2.08
2022-09,111.78,2.08
2022-10,111.02,1.35
2022-11,111.63,1.38
2022-12,111.94,1.9
2023-01,112.8,1.65
2023-02,113.11,1.79
2023-03,113.76,1.27
2023-04,113.77,1.31
2023-05,114.02,1.65
2023-06,113.26,0.81
2023-07,113.48,1.59
2023-08,113.9,1.89
2023-09,113.41,1.46
2023-10,114.1,2.77
2023-11,113.67,1.82
2023-12,114.14,1.97
2024-01,114.75,1.73
2024-02,115.67,2.26
2024-03,115.83,1.82
2024-04,115.64,1.64
2024-05,116.05,1.78
2024-06,115.23,1.74
2024-07,115.31,1.61
2024-08,114.89,0.87
2024-09,115.42,1.78
2024-10,115.16,0.93
2024-11,115.98,2.03
2024-12,115.42,1.12
2025-01,115.92,1.02
2025-02,116.84,1.01
2025-03,117.06,1.06
2025-04,118.14,2.16
2025-05,117.32,1.09
2025-06,116.86,1.41
2025-07,117.55,1.94
2025-08,117.13,1.95
2025-09,116.24,0.71
2025-10,116.93,1.54
2025-11,116.86,0.76
2025-12,117.95,2.19
